Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_Word,sentence,word,randomize_3
Der Fuchs lauerte hinter einem,garten,1,7.0,19,68,6,101,0.01470588235294118,2.02122000819814,em_lc,111,111,em,s_em_111p.wav,s_em_lc_111tw,0.25301010180860994,s_em_111p.wav,s_em_lc_111tw_6.wav,Stimuli/s_em_111p.wav,Stimuli/s_em_lc_111tw_6.wav,0.5604729236186228
Der frühe Vogel fängt den,luchs,0,1.0,1,66,6,100,0.0,0.0,el_mm,109,109,el,s_el_109p.wav,s_el_mm_109tw,0.19754314415355312,s_el_109p.wav,s_el_mm_109tw_6.wav,Stimuli/s_el_109p.wav,Stimuli/s_el_mm_109tw_6.wav,0.5676239682966383
Marie bückte sich und sah einen,käfer,21,15.0,35,68,7,291,0.3088235294117647,2.970789518717813,eh,349,349,eh,s_eh_349p.wav,s_eh_349tw,0.799798245778524,s_eh_349p.wav,s_eh_349tw_1.wav,Stimuli/s_eh_349p.wav,Stimuli/s_eh_349tw_1.wav,0.5767641603953675
Lars schlug sein Pferd mit einer ,Peitsche ,40,,3,44,7,26,0.9090909090909091,0.3557574741327661,el,344,344,el,s_el_344p.wav,s_el_344tw,0.16121714691176714,s_el_344p.wav,s_el_344tw_6.wav,Stimuli/s_el_344p.wav,Stimuli/s_el_344tw_6.wav,0.5777972460062838
Auf dem Zeltboden krabbelt eine,wanze,2,5.0,5,67,6,27,0.02985074626865672,0.8825154384639423,em_lc,23,23,em,s_em_023p.wav,s_em_lc_023tw,0.661228382560545,s_em_023p.wav,s_em_lc_023tw_1.wav,Stimuli/s_em_023p.wav,Stimuli/s_em_lc_023tw_1.wav,0.5799277109112521
Der Dünger nährt den ,delfin,0,,3,40,5,6,0.0,0.2331726023738699,el_mm,98,98,el,s_el_098p.wav,s_el_mm_098tw,0.4502932629193779,s_el_098p.wav,s_el_mm_098tw_12.wav,Stimuli/s_el_098p.wav,Stimuli/s_el_mm_098tw_12.wav,0.5833914138009411
Liebe geht durch den,magen,66,2.0,3,68,5,288,0.9705882352941176,0.1530781026210465,el,346,346,el,s_el_346p.wav,s_el_346tw,0.04238845748655151,s_el_346p.wav,s_el_346tw_6.wav,Stimuli/s_el_346p.wav,Stimuli/s_el_346tw_6.wav,0.5896075559997945
Ganz hinten unter der Decke liegt ein,kissen,15,13.0,29,68,8,200,0.2205882352941176,2.865993411786329,eh,239,239,eh,s_eh_239p.wav,s_eh_239tw,0.3961614839303652,s_eh_239p.wav,s_eh_239tw_12.wav,Stimuli/s_eh_239p.wav,Stimuli/s_eh_239tw_12.wav,0.5995449466794116
Die Katze jagt eine Maus im,schuppen,1,11.0,14,68,7,168,0.01470588235294118,2.060795255120921,em_lc,193,193,em,s_em_193p.wav,s_em_lc_193tw,0.7004281632472326,s_em_193p.wav,s_em_lc_193tw_1.wav,Stimuli/s_em_193p.wav,Stimuli/s_em_lc_193tw_1.wav,0.6028922852614766
Die Enten schwammen auf dem ,Teich ,24,,2,44,6,15,0.5454545454545454,0.6890092384766586,el,179,179,el,s_el_179p.wav,s_el_179tw,0.236623657030963,s_el_179p.wav,s_el_179tw_12.wav,Stimuli/s_el_179p.wav,Stimuli/s_el_179tw_12.wav,0.6126897799090006
Auf dem Oktoberfest trinken die Menschen viel,bier,64,2.0,2,66,8,21,0.9696969696969697,0.1357939587515939,el,17,17,el,s_el_017p.wav,s_el_017tw,0.9465771295961116,s_el_017p.wav,s_el_017tw_3.wav,Stimuli/s_el_017p.wav,Stimuli/s_el_017tw_3.wav,0.6151756071807417
Ich gehe zum Fahrradladen und hole eine,pumpe,34,8.0,13,63,8,209,0.5396825396825397,1.525829170617983,em_hc,249,249,em,s_em_249p.wav,s_em_hc_249tw,0.5190454708276653,s_em_249p.wav,s_em_hc_249tw_1.wav,Stimuli/s_em_249p.wav,Stimuli/s_em_hc_249tw_1.wav,0.6238514895212683
Im Gefägnis waren Gitter vor den ,Fenstern,49,,3,52,7,24,0.9423076923076923,0.2572920076479544,el,271,271,el,s_el_271p.wav,s_el_271tw,0.12359201058339353,s_el_271p.wav,s_el_271tw_6.wav,Stimuli/s_el_271p.wav,Stimuli/s_el_271tw_6.wav,0.6252389574046132
Der Boxer schlug seinem Gegner auf die,nase,43,9.0,14,68,8,92,0.6323529411764706,1.433631423824815,em_hc,95,95,em,s_em_095p.wav,s_em_hc_095tw,0.951020436260346,s_em_095p.wav,s_em_hc_095tw_3.wav,Stimuli/s_em_095p.wav,Stimuli/s_em_hc_095tw_3.wav,0.6272832793896534
Die Hauptfigur in dem Kinderbuch war ein,bär,7,1.0,34,64,8,160,0.109375,3.263800436692345,eh,184,184,eh,s_eh_184p.wav,s_eh_184tw,0.9014518315105075,s_eh_184p.wav,s_eh_184tw_3.wav,Stimuli/s_eh_184p.wav,Stimuli/s_eh_184tw_3.wav,0.6290707212786707
Der Schaffner wurde misstrauisch wegen des,tickets,23,23.0,26,66,7,130,0.3484848484848485,2.638984040413408,eh,136,136,eh,s_eh_136p.wav,s_eh_136tw,0.8771816951697382,s_eh_136p.wav,s_eh_136tw_3.wav,Stimuli/s_eh_136p.wav,Stimuli/s_eh_136tw_3.wav,0.63417240495455
Das Cappie schützt die Augen vor der,kreide,0,2.0,3,65,8,65,0.0,0.2657850763483092,el_mm,64,64,el,s_el_064p.wav,s_el_mm_064tw,0.5184143956598126,s_el_064p.wav,s_el_mm_064tw_1.wav,Stimuli/s_el_064p.wav,Stimuli/s_el_mm_064tw_1.wav,0.6395595092694665
Der Italiener von nebenan serviert die beste,wurst,1,6.0,6,65,8,111,0.01538461538461539,0.8751472512151466,em_lc,117,117,em,s_em_117p.wav,s_em_lc_117tw,0.7704636709116641,s_em_117p.wav,s_em_lc_117tw_3.wav,Stimuli/s_em_117p.wav,Stimuli/s_em_lc_117tw_3.wav,0.6482653434338101
Im Labor untersuchten die Wissenschaftler die,proben,15,19.0,31,68,7,233,0.2205882352941176,2.987722069645366,eh,281,281,eh,s_eh_281p.wav,s_eh_281tw,0.7862457145031034,s_eh_281p.wav,s_eh_281tw_1.wav,Stimuli/s_eh_281p.wav,Stimuli/s_eh_281tw_1.wav,0.6486090583131682
Der Wissenschaftler forscht an einem neuen Medikament gegen,krebs,40,8.0,11,67,9,146,0.5970149253731343,1.415487196191775,em_hc,158,158,em,s_em_158p.wav,s_em_hc_158tw,0.10043080696076168,s_em_158p.wav,s_em_hc_158tw_6.wav,Stimuli/s_em_158p.wav,Stimuli/s_em_hc_158tw_6.wav,0.6504798874360437
Der Winter war sehr hart in diesem ,schal,0,,1,44,8,10,0.0,0.0,el_mm,156,156,el,s_el_156p.wav,s_el_mm_156tw,0.6442054260182096,s_el_156p.wav,s_el_mm_156tw_3.wav,Stimuli/s_el_156p.wav,Stimuli/s_el_mm_156tw_3.wav,0.6605657067443552
Das erste Mal spielte der Schauspieler die Rolle des,bösewichts,16,3.0,27,66,10,66,0.2424242424242424,2.766499916533065,eh,66,66,eh,s_eh_066p.wav,s_eh_066tw,0.9393673097121708,s_eh_066p.wav,s_eh_066tw_3.wav,Stimuli/s_eh_066p.wav,Stimuli/s_eh_066tw_3.wav,0.6679109035469137
In der Dunkelheit greift Theo nach der,zahnbürste,1,14.0,15,67,8,255,0.01492537313432836,1.810480301201734,em_lc,308,308,em,s_em_308p.wav,s_em_lc_308tw,0.45042704460107097,s_em_308p.wav,s_em_lc_308tw_12.wav,Stimuli/s_em_308p.wav,Stimuli/s_em_lc_308tw_12.wav,0.6871056147641996
Ingrid liest bei Romanen immer zuerst die letzte,seite,73,1.0,2,75,9,15,0.9733333333333334,0.1229569993369445,el,334,334,el,s_el_334p.wav,s_el_334tw,0.4188518772270554,s_el_334p.wav,s_el_334tw_12.wav,Stimuli/s_el_334p.wav,Stimuli/s_el_334tw_12.wav,0.6877422180735608
Nach einer Schreibblockade vollendete der Autor seinen,roman,44,7.0,9,67,8,317,0.6567164179104478,1.286343381457442,em_hc,377,377,em,s_em_377p.wav,s_em_hc_377tw,0.46985622526568915,s_em_377p.wav,s_em_hc_377tw_1.wav,Stimuli/s_em_377p.wav,Stimuli/s_em_hc_377tw_1.wav,0.6934016901540294
Der Rapper singt über sein Leben auf der Straße und seine,liebe,10,18.0,26,68,12,128,0.1470588235294118,2.898879076682315,eh,135,135,eh,s_eh_135p.wav,s_eh_135tw,0.31786179700195616,s_eh_135p.wav,s_eh_135tw_12.wav,Stimuli/s_eh_135p.wav,Stimuli/s_eh_135tw_12.wav,0.6934504611464212
In der Gemeinde legen die Mitglieder großen Wert auf,sauberkeit,19,15.0,25,67,10,256,0.2835820895522388,2.659700522500995,eh,310,310,eh,s_eh_310p.wav,s_eh_310tw,0.8899986671086527,s_eh_310p.wav,s_eh_310tw_3.wav,Stimuli/s_eh_310p.wav,Stimuli/s_eh_310tw_3.wav,0.6973606325367463
In einer Seeschlacht erbeuteten die Piraten viele,schätze,36,16.0,22,68,8,272,0.5294117647058824,2.045913173382595,em_hc,323,323,em,s_em_323p.wav,s_em_hc_323tw,0.7762756566397202,s_em_323p.wav,s_em_hc_323tw_3.wav,Stimuli/s_em_323p.wav,Stimuli/s_em_hc_323tw_3.wav,0.6998283487349504
Die Unfallursache war wie häufig eine zu hohe ,Leitfähigkeit,0,,2,52,9,16,0.0,0.09503011725564635,el_mm,215,215,el,s_el_215p.wav,s_el_mm_215tw,0.9003816854816602,s_el_215p.wav,s_el_mm_215tw_3.wav,Stimuli/s_el_215p.wav,Stimuli/s_el_mm_215tw_3.wav,0.706217310093555
Sie wischte sich den Schweiß von der,stirn,65,4.0,4,68,8,333,0.9558823529411765,0.2292845795405712,el,402,402,el,s_el_402p.wav,s_el_402tw,0.14739509737517376,s_el_402p.wav,s_el_402tw_6.wav,Stimuli/s_el_402p.wav,Stimuli/s_el_402tw_6.wav,0.7083081408831056
Über das Feld rennt ein,soldat,1,14.0,16,68,6,337,0.01470588235294118,1.879718879418303,em_lc,408,408,em,s_em_408p.wav,s_em_lc_408tw,0.660013385691329,s_em_408p.wav,s_em_lc_408tw_1.wav,Stimuli/s_em_408p.wav,Stimuli/s_em_lc_408tw_1.wav,0.7106776913529188
Nach der Gartenarbeit wusch sie sich gründlich die,achseln,0,2.0,2,76,9,17,0.0,0.1216924026780619,el_mm,370,370,el,s_el_370p.wav,s_el_mm_370tw,0.19946962618057296,s_el_370p.wav,s_el_mm_370tw_6.wav,Stimuli/s_el_370p.wav,Stimuli/s_el_mm_370tw_6.wav,0.7147239437405436
Die alte Dame sitzt auf der Parkbank und füttert die,tauben,28,7.0,8,68,11,149,0.4117647058823529,1.399570528835303,em_hc,164,164,em,s_em_164p.wav,s_em_hc_164tw,0.270080764652156,s_em_164p.wav,s_em_hc_164tw_12.wav,Stimuli/s_em_164p.wav,Stimuli/s_em_hc_164tw_12.wav,0.7367147176453135
Der Investmentbänker verliert sein ganzes Geld an der,börse,64,1.0,3,67,9,110,0.9552238805970149,0.2113372209411319,el,115,115,el,s_el_115p.wav,s_el_115tw,0.8900971210942344,s_el_115p.wav,s_el_115tw_3.wav,Stimuli/s_el_115p.wav,Stimuli/s_el_115tw_3.wav,0.7382084481973042
Am Abend verbrachte sie gern noch Zeit mit ihren,hasen,1,5.0,9,50,10,4,0.02,1.585504265655088,em_lc,4,4,em,s_em_004p.wav,s_em_lc_004tw,0.5052313417096371,s_em_004p.wav,s_em_lc_004tw_12.wav,Stimuli/s_em_004p.wav,Stimuli/s_em_lc_004tw_12.wav,0.7495641288259127
Der Vogel im Baum singt ein schönes,lied,64,2.0,4,67,8,140,0.9552238805970149,0.2320281815548616,el,148,148,el,s_el_148p.wav,s_el_148tw,0.4120990123491147,s_el_148p.wav,s_el_148tw_12.wav,Stimuli/s_el_148p.wav,Stimuli/s_el_148tw_12.wav,0.7542271618416837
