Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_Word,sentence,word,randomize_3
In seiner Werkstatt fertigt der Schmied ein eisernes,schwert,27,9.0,11,66,9,281,0.4090909090909091,1.730942683413564,em_hc,332,332,em,s_em_332p.wav,s_em_hc_332tw,0.6014637546534963,s_em_332p.wav,s_em_hc_332tw_1.wav,Stimuli/s_em_332p.wav,Stimuli/s_em_hc_332tw_1.wav,0.3767607961059922
Bei Nacht spendet die Straßenlaterne helles,licht,68,1.0,1,68,7,53,1.0,0.0,el,48,48,el,s_el_048p.wav,s_el_048tw,0.8092666285259611,s_el_048p.wav,s_el_048tw_3.wav,Stimuli/s_el_048p.wav,Stimuli/s_el_048tw_3.wav,0.37965044238599943
Von dem Lottogewinn kauft er sich ein schnelles,dreirad,0,1.0,9,65,9,342,0.0,0.6850643615527408,el_mm,420,420,el,s_el_420p.wav,s_el_mm_420tw,0.14024890754468378,s_el_420p.wav,s_el_mm_420tw_6.wav,Stimuli/s_el_420p.wav,Stimuli/s_el_mm_420tw_6.wav,0.3835669903731431
Das Parfüm der Rezeptionistin duftete angenehm nach,rosen,26,15.0,19,66,8,82,0.3939393939393939,2.042440330693121,em_hc,77,77,em,s_em_077p.wav,s_em_hc_077tw,0.17167186416866065,s_em_077p.wav,s_em_hc_077tw_6.wav,Stimuli/s_em_077p.wav,Stimuli/s_em_hc_077tw_6.wav,0.3860993577375411
In der Schwangerschaft aß sie besonders gerne,gurken,16,14.0,30,67,8,266,0.2388059701492537,2.82580342359955,eh,319,319,eh,s_eh_319p.wav,s_eh_319tw,0.35048863599372093,s_eh_319p.wav,s_eh_319tw_12.wav,Stimuli/s_eh_319p.wav,Stimuli/s_eh_319tw_12.wav,0.3933845784225347
Im Aquarium gibt es neben Fischen auch,pflanzen,11,12.0,24,65,8,220,0.1692307692307692,2.792576662047787,eh,267,267,eh,s_eh_267p.wav,s_eh_267tw,0.40071945673218634,s_eh_267p.wav,s_eh_267tw_12.wav,Stimuli/s_eh_267p.wav,Stimuli/s_eh_267tw_12.wav,0.3956056221252723
Meine Schwester studiert Medizin an der,universität,49,6.0,6,67,7,296,0.7313432835820896,0.9744178016214289,em_hc,354,354,em,s_em_354p.wav,s_em_hc_354tw,0.05594999379606069,s_em_354p.wav,s_em_hc_354tw_6.wav,Stimuli/s_em_354p.wav,Stimuli/s_em_hc_354tw_6.wav,0.4068649162100254
Nach den vielen Stufen war sie außer,atem,53,1.0,4,66,8,309,0.803030303030303,0.6017408114348417,el,368,368,el,s_el_368p.wav,s_el_368tw,0.5069282215798083,s_el_368p.wav,s_el_368tw_1.wav,Stimuli/s_el_368p.wav,Stimuli/s_el_368tw_1.wav,0.40857153218312803
Heute gab es zu den Kartoffeln nur,quark,13,15.0,23,64,8,205,0.203125,2.730844774839591,eh,244,244,eh,s_eh_244p.wav,s_eh_244tw,0.7166980166784818,s_eh_244p.wav,s_eh_244tw_1.wav,Stimuli/s_eh_244p.wav,Stimuli/s_eh_244tw_1.wav,0.4148830849343984
Der Sicherheitsbeauftragte entdeckte große Mängel bei den,türen,4,45.0,49,67,8,133,0.05970149253731343,3.759634711966251,eh,139,139,eh,s_eh_139p.wav,s_eh_139tw,0.8618390865687711,s_eh_139p.wav,s_eh_139tw_3.wav,Stimuli/s_eh_139p.wav,Stimuli/s_eh_139tw_3.wav,0.4201353584412617
Der junge Mann trägt die Last auf seinen,nägeln,0,2.0,2,66,9,113,0.0,0.2286318735828613,el_mm,120,120,el,s_el_120p.wav,s_el_mm_120tw,0.802588726887189,s_el_120p.wav,s_el_mm_120tw_3.wav,Stimuli/s_el_120p.wav,Stimuli/s_el_mm_120tw_3.wav,0.4238860482433693
Der Tod seines Hundes erfüllte ihn mit großer ,Trauer,41,,3,43,9,9,0.9534883720930233,0.220352331161548,el,145,145,el,s_el_145p.wav,s_el_145tw,0.13738981369599523,s_el_145p.wav,s_el_145tw_6.wav,Stimuli/s_el_145p.wav,Stimuli/s_el_145tw_6.wav,0.4269302740227985
Nach dem Essen spülten sie das ,Geschirr,44,,1,44,7,29,1.0,0.0,el,365,365,el,s_el_365p.wav,s_el_365tw,0.1643771849661967,s_el_365p.wav,s_el_365tw_6.wav,Stimuli/s_el_365p.wav,Stimuli/s_el_365tw_6.wav,0.4336983073522389
Während einer Verfolgungsjagd floh der Verdächtige mit einem,auto,34,1.0,21,68,9,346,0.5,2.093346238520834,em_hc,424,424,em,s_em_424p.wav,s_em_hc_424tw,0.4382262077081055,s_em_424p.wav,s_em_hc_424tw_12.wav,Stimuli/s_em_424p.wav,Stimuli/s_em_hc_424tw_12.wav,0.44225111550146623
Der Zauberer verriet dem Publikum seinen ,weg,0,,4,47,7,11,0.0,0.2054707498023056,el_mm,160,160,el,s_el_160p.wav,s_el_mm_160tw,0.44371215384600393,s_el_160p.wav,s_el_mm_160tw_12.wav,Stimuli/s_el_160p.wav,Stimuli/s_el_mm_160tw_12.wav,0.4449925228700816
Kurz vor der Ziellinie fiel der Reiter von seinem,strauß,0,1.0,3,66,10,287,0.0,0.2138398613629944,el_mm,342,342,el,s_el_342p.wav,s_el_mm_342tw,0.3593520907253799,s_el_342p.wav,s_el_mm_342tw_12.wav,Stimuli/s_el_342p.wav,Stimuli/s_el_mm_342tw_12.wav,0.44531238702252984
Aus dem Tresor stehlen die Bankräuber wertvolle,diamanten,8,5.0,26,65,8,43,0.1230769230769231,2.981211013591902,eh,40,40,eh,s_eh_040p.wav,s_eh_040tw,0.004936902882194394,s_eh_040p.wav,s_eh_040tw_6.wav,Stimuli/s_eh_040p.wav,Stimuli/s_eh_040tw_6.wav,0.44733092276951547
Auf der Straße repariert der Bauarbeiter ein,tor,1,17.0,17,65,8,33,0.01538461538461539,2.083047986725922,em_lc,28,28,em,s_em_028p.wav,s_em_lc_028tw,0.7409783990766099,s_em_028p.wav,s_em_lc_028tw_3.wav,Stimuli/s_em_028p.wav,Stimuli/s_em_lc_028tw_3.wav,0.4551906975906592
Für ihren runden Geburtstag bestellt Johanna in der Konditorei eine,glocke,0,3.0,3,76,11,10,0.0,0.1399331179559552,el_mm,237,237,el,s_el_237p.wav,s_el_mm_237tw,0.5351537344631945,s_el_237p.wav,s_el_mm_237tw_1.wav,Stimuli/s_el_237p.wav,Stimuli/s_el_mm_237tw_1.wav,0.46011231895097704
Ihre Arbeit machte ihr ,Spaß,45,,2,52,5,23,0.8653846153846154,0.3950671208304354,el,263,263,el,s_el_263p.wav,s_el_263tw,0.23617446580596624,s_el_263p.wav,s_el_263tw_12.wav,Stimuli/s_el_263p.wav,Stimuli/s_el_263tw_12.wav,0.460203554686583
Zu Risiken und Nebenwirkungen fragen Sie Ihren Arzt oder,elektriker,0,1.0,2,75,10,24,0.0,0.1229569993369445,el_mm,433,433,el,s_el_433p.wav,s_el_mm_433tw,0.2123657393374141,s_el_433p.wav,s_el_mm_433tw_12.wav,Stimuli/s_el_433p.wav,Stimuli/s_el_mm_433tw_12.wav,0.4691810216791674
Bei diesem Geräusch denkt Lilli immer an,urlaub,6,41.0,44,66,8,51,0.09090909090909091,3.637979688549688,eh,46,46,eh,s_eh_046p.wav,s_eh_046tw,0.6795381820572481,s_eh_046p.wav,s_eh_046tw_1.wav,Stimuli/s_eh_046p.wav,Stimuli/s_eh_046tw_1.wav,0.4710341538842979
In London entwarf die Stararchitektin ein neues,gebäude,25,6.0,13,65,8,276,0.3846153846153846,1.805822329723849,em_hc,328,328,em,s_em_328p.wav,s_em_hc_328tw,0.6064601399476497,s_em_328p.wav,s_em_hc_328tw_1.wav,Stimuli/s_em_328p.wav,Stimuli/s_em_hc_328tw_1.wav,0.4741841928597834
Der Park in der Nähe hat einen großen,see,28,7.0,9,67,9,126,0.417910447761194,1.562915661507047,em_hc,130,130,em,s_em_130p.wav,s_em_hc_130tw,0.1615924175530501,s_em_130p.wav,s_em_hc_130tw_6.wav,Stimuli/s_em_130p.wav,Stimuli/s_em_hc_130tw_6.wav,0.47991812751187857
Daniela gähnte und rieb sich die Augen vor,müdigkeit,72,2.0,3,75,9,3,0.96,0.1934047144659654,el,62,62,el,s_el_062p.wav,s_el_062tw,0.4743085114708524,s_el_062p.wav,s_el_062tw_1.wav,Stimuli/s_el_062p.wav,Stimuli/s_el_062tw_1.wav,0.4819422157150851
Rauchen gefährdert die ,Vorhänge,0,,3,53,4,33,0.0,0.1868370594211668,el_mm,389,389,el,s_el_389p.wav,s_el_mm_389tw,0.665636497426347,s_el_389p.wav,s_el_mm_389tw_3.wav,Stimuli/s_el_389p.wav,Stimuli/s_el_mm_389tw_3.wav,0.4960161477897711
In der Menschenmenge erkannte mich meine,chefin,1,1.0,16,67,7,260,0.01492537313432836,1.958237694603065,em_lc,313,313,em,s_em_313p.wav,s_em_lc_313tw,0.7546819605470017,s_em_313p.wav,s_em_lc_313tw_3.wav,Stimuli/s_em_313p.wav,Stimuli/s_em_lc_313tw_3.wav,0.49830415362898284
Im Streit zog das Mädchen seiner Freundin an den,knöpfen,0,1.0,3,68,10,239,0.0,0.2994685109533696,el_mm,287,287,el,s_el_287p.wav,s_el_mm_287tw,0.042539697023417866,s_el_287p.wav,s_el_mm_287tw_6.wav,Stimuli/s_el_287p.wav,Stimuli/s_el_mm_287tw_6.wav,0.5073083527610145
