Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_word,sentence,word,randomize_2
Der Baum im Herbst hat bunte,schleifen,0,1.0,1,66,7,89,0.0,0.0,el_mm,91,91,el,s_el_091p.wav,s_el_mm_091tw,0.20329513743583594,s_el_091p.wav,s_el_mm_091tw_3.wav,Stimuli/s_el_091p.wav,Stimuli/s_el_mm_091tw_3.wav,0.32259612749694566
Die Schüler schreiben heute eine wichtige Prüfung in,mathe,47,8.0,10,66,9,181,0.7121212121212122,1.141624710878416,em_hc,209,209,em,s_em_209p.wav,s_em_hc_209tw,0.8406806345301697,s_em_209p.wav,s_em_hc_209tw_1.wav,Stimuli/s_em_209p.wav,Stimuli/s_em_hc_209tw_1.wav,0.32276109731457203
Der Sicherheitsbeauftragte entdeckte große Mängel bei den,türen,4,45.0,49,67,8,133,0.05970149253731343,3.759634711966251,eh,139,139,eh,s_eh_139p.wav,s_eh_139tw,0.8618390865687711,s_eh_139p.wav,s_eh_139tw_1.wav,Stimuli/s_eh_139p.wav,Stimuli/s_eh_139tw_1.wav,0.32395211006612756
In der Schule lernen die Kinder,lesen,27,5.0,15,68,7,265,0.3970588235294117,1.980447619989706,em_hc,317,317,em,s_em_317p.wav,s_em_hc_317tw,0.7811520583765357,s_em_317p.wav,s_em_hc_317tw_1.wav,Stimuli/s_em_317p.wav,Stimuli/s_em_hc_317tw_1.wav,0.3285901756346944
Die Maus knabberte an einem Stück,käse,62,2.0,5,66,7,176,0.9393939393939394,0.3126497136507334,el,204,204,el,s_el_204p.wav,s_el_204tw,0.5130255790747947,s_el_204p.wav,s_el_204tw_12.wav,Stimuli/s_el_204p.wav,Stimuli/s_el_204tw_12.wav,0.3323435904987486
Nach vielen Niederlagen steht die Fußballmannschaft kurz vor dem,abstieg,30,1.0,8,76,10,19,0.3947368421052632,1.354694128992041,em_hc,382,382,em,s_em_382p.wav,s_em_hc_382tw,0.07876377039852522,s_em_382p.wav,s_em_hc_382tw_3.wav,Stimuli/s_em_382p.wav,Stimuli/s_em_hc_382tw_3.wav,0.3370726007519145
Auf dem Waschbecken liegt ein Stück,seife,63,4.0,5,67,7,25,0.9402985074626866,0.3089092199481815,el,20,20,el,s_el_020p.wav,s_el_020tw,0.6503944106636229,s_el_020p.wav,s_el_020tw_12.wav,Stimuli/s_el_020p.wav,Stimuli/s_el_020tw_12.wav,0.33717187940600346
Im Aquarium gibt es neben Fischen auch,pflanzen,11,12.0,24,65,8,220,0.1692307692307692,2.792576662047787,eh,267,267,eh,s_eh_267p.wav,s_eh_267tw,0.40071945673218634,s_eh_267p.wav,s_eh_267tw_6.wav,Stimuli/s_eh_267p.wav,Stimuli/s_eh_267tw_6.wav,0.34272009813906057
Der Wissenschaftler forscht an einem neuen Medikament gegen,krebs,40,8.0,11,67,9,146,0.5970149253731343,1.415487196191775,em_hc,158,158,em,s_em_158p.wav,s_em_hc_158tw,0.10043080696076168,s_em_158p.wav,s_em_hc_158tw_3.wav,Stimuli/s_em_158p.wav,Stimuli/s_em_hc_158tw_3.wav,0.3428805702642358
Ungeduldig schaut Toni auf ihre,kuh,0,5.0,5,76,6,22,0.0,0.3742793427934435,el_mm,415,415,el,s_el_415p.wav,s_el_mm_415tw,0.005993606038986354,s_el_415p.wav,s_el_mm_415tw_3.wav,Stimuli/s_el_415p.wav,Stimuli/s_el_mm_415tw_3.wav,0.34688476276604796
Als Kind liebte sie das Märchen von Hänsel und,nemo,0,1.0,1,66,10,2,0.0,0.0,el_mm,1,1,el,s_el_001p.wav,s_el_mm_001tw,0.5473170681395589,s_el_001p.wav,s_el_mm_001tw_12.wav,Stimuli/s_el_001p.wav,Stimuli/s_el_mm_001tw_12.wav,0.34716961607422214
Heute gab es zu den Kartoffeln nur,quark,13,15.0,23,64,8,205,0.203125,2.730844774839591,eh,244,244,eh,s_eh_244p.wav,s_eh_244tw,0.7166980166784818,s_eh_244p.wav,s_eh_244tw_12.wav,Stimuli/s_eh_244p.wav,Stimuli/s_eh_244tw_12.wav,0.36442588770045914
Im Supermarkt kaufen wir eine Flasche,öl,1,6.0,15,66,8,240,0.01515151515151515,1.840455000233118,em_lc,289,289,em,s_em_289p.wav,s_em_lc_289tw,0.3922076164480133,s_em_289p.wav,s_em_lc_289tw_3.wav,Stimuli/s_em_289p.wav,Stimuli/s_em_lc_289tw_3.wav,0.3651817332517495
Bei einem Strandspaziergang entdeckten sie am Ufer einen,wal,11,31.0,31,67,9,52,0.1641791044776119,3.090458647716546,eh,47,47,eh,s_eh_047p.wav,s_eh_047tw,0.24302030758567839,s_eh_047p.wav,s_eh_047tw_6.wav,Stimuli/s_eh_047p.wav,Stimuli/s_eh_047tw_6.wav,0.37186129955222014
In der Schwangerschaft aß sie besonders gerne,gurken,16,14.0,30,67,8,266,0.2388059701492537,2.82580342359955,eh,319,319,eh,s_eh_319p.wav,s_eh_319tw,0.35048863599372093,s_eh_319p.wav,s_eh_319tw_6.wav,Stimuli/s_eh_319p.wav,Stimuli/s_eh_319tw_6.wav,0.3826192544058922
Die Blumen auf dem Balkon brauchen dringend,kekse,0,3.0,3,68,8,152,0.0,0.2088978977593964,el_mm,172,172,el,s_el_172p.wav,s_el_mm_172tw,0.7258994017648424,s_el_172p.wav,s_el_mm_172tw_1.wav,Stimuli/s_el_172p.wav,Stimuli/s_el_mm_172tw_1.wav,0.3837621274289372
Die Menschen auf der Straße bestaunen den,künstler,8,15.0,39,66,8,177,0.1212121212121212,3.451719094914759,eh,206,206,eh,s_eh_206p.wav,s_eh_206tw,0.8557291061157861,s_eh_206p.wav,s_eh_206tw_1.wav,Stimuli/s_eh_206p.wav,Stimuli/s_eh_206tw_1.wav,0.38704449181815026
Der Feuerlöscher befindet sich neben der,scheune,1,8.0,12,66,7,97,0.01515151515151515,1.18929533037326,em_lc,104,104,em,s_em_104p.wav,s_em_lc_104tw,0.9140912259866952,s_em_104p.wav,s_em_lc_104tw_1.wav,Stimuli/s_em_104p.wav,Stimuli/s_em_lc_104tw_1.wav,0.38714958050597603
Der Boxer schlug seinem Gegner auf die,nase,43,9.0,14,68,8,92,0.6323529411764706,1.433631423824815,em_hc,95,95,em,s_em_095p.wav,s_em_hc_095tw,0.951020436260346,s_em_095p.wav,s_em_hc_095tw_1.wav,Stimuli/s_em_095p.wav,Stimuli/s_em_hc_095tw_1.wav,0.39463595542694063
Der Fuchs lauerte hinter einem,garten,1,7.0,19,68,6,101,0.01470588235294118,2.02122000819814,em_lc,111,111,em,s_em_111p.wav,s_em_lc_111tw,0.25301010180860994,s_em_111p.wav,s_em_lc_111tw_3.wav,Stimuli/s_em_111p.wav,Stimuli/s_em_lc_111tw_3.wav,0.39885110213318997
Bei diesem Geräusch denkt Lilli immer an,urlaub,6,41.0,44,66,8,51,0.09090909090909091,3.637979688549688,eh,46,46,eh,s_eh_046p.wav,s_eh_046tw,0.6795381820572481,s_eh_046p.wav,s_eh_046tw_12.wav,Stimuli/s_eh_046p.wav,Stimuli/s_eh_046tw_12.wav,0.3998785607752312
Die weiße Wolke am Himmel sieht aus wie ein,schaf,12,23.0,30,67,10,188,0.1791044776119403,3.014355621412924,eh,219,219,eh,s_eh_219p.wav,s_eh_219tw,0.010418133673446683,s_eh_219p.wav,s_eh_219tw_3.wav,Stimuli/s_eh_219p.wav,Stimuli/s_eh_219tw_3.wav,0.39987869801729337
Die Hauptfigur in dem Kinderbuch war ein,bär,7,1.0,34,64,8,160,0.109375,3.263800436692345,eh,184,184,eh,s_eh_184p.wav,s_eh_184tw,0.9014518315105075,s_eh_184p.wav,s_eh_184tw_1.wav,Stimuli/s_eh_184p.wav,Stimuli/s_eh_184tw_1.wav,0.40091748665901505
Ich suche meine Schlüssel in der,tasche,39,9.0,10,66,7,213,0.5909090909090909,1.436287342372337,em_hc,253,253,em,s_em_253p.wav,s_em_hc_253tw,0.4587709865755072,s_em_253p.wav,s_em_hc_253tw_12.wav,Stimuli/s_em_253p.wav,Stimuli/s_em_hc_253tw_12.wav,0.40578099051941197
In der Gemeinde legen die Mitglieder großen Wert auf,sauberkeit,19,15.0,25,67,10,256,0.2835820895522388,2.659700522500995,eh,310,310,eh,s_eh_310p.wav,s_eh_310tw,0.8899986671086527,s_eh_310p.wav,s_eh_310tw_1.wav,Stimuli/s_eh_310p.wav,Stimuli/s_eh_310tw_1.wav,0.41070194270550375
Die DDR baute 1961 in Berlin die,Fabrik,0,,1,44,8,14,0.0,0.0,el_mm,174,174,el,s_el_174p.wav,s_el_mm_174tw,0.36828530754232647,s_el_174p.wav,s_el_mm_174tw_6.wav,Stimuli/s_el_174p.wav,Stimuli/s_el_mm_174tw_6.wav,0.4135250489171294
Ihre Hände waren ganz wund vom,putzen,9,7.0,28,68,7,218,0.1323529411764706,2.884835511218853,eh,265,265,eh,s_eh_265p.wav,s_eh_265tw,0.4625522974893246,s_eh_265p.wav,s_eh_265tw_6.wav,Stimuli/s_eh_265p.wav,Stimuli/s_eh_265tw_6.wav,0.4181530760581922
Das Parfüm der Rezeptionistin duftete angenehm nach,rosen,26,15.0,19,66,8,82,0.3939393939393939,2.042440330693121,em_hc,77,77,em,s_em_077p.wav,s_em_hc_077tw,0.17167186416866065,s_em_077p.wav,s_em_hc_077tw_3.wav,Stimuli/s_em_077p.wav,Stimuli/s_em_hc_077tw_3.wav,0.4210181259143637
In seinem alten Kinderzimmer suchte er nach seinem,teddy,9,35.0,39,67,9,277,0.1343283582089552,3.363602743266912,eh,330,330,eh,s_eh_330p.wav,s_eh_330tw,0.3609419603991014,s_eh_330p.wav,s_eh_330tw_6.wav,Stimuli/s_eh_330p.wav,Stimuli/s_eh_330tw_6.wav,0.42367840104198873
Der frühe Vogel fängt den,luchs,0,1.0,1,66,6,100,0.0,0.0,el_mm,109,109,el,s_el_109p.wav,s_el_mm_109tw,0.19754314415355312,s_el_109p.wav,s_el_mm_109tw_3.wav,Stimuli/s_el_109p.wav,Stimuli/s_el_mm_109tw_3.wav,0.4248845560724833
Über den Stuhl hängt sie ihre,jacke,51,5.0,11,68,7,338,0.75,1.092155375096271,em_hc,410,410,em,s_em_410p.wav,s_em_hc_410tw,0.48416235517798656,s_em_410p.wav,s_em_hc_410tw_12.wav,Stimuli/s_em_410p.wav,Stimuli/s_em_hc_410tw_12.wav,0.432166990524505
Das Feuer im Kamin knistert und verbreitet,dreck,1,1.0,11,66,8,69,0.01515151515151515,0.9715313303319758,em_lc,70,70,em,s_em_070p.wav,s_em_lc_070tw,0.7296745070415139,s_em_070p.wav,s_em_lc_070tw_12.wav,Stimuli/s_em_070p.wav,Stimuli/s_em_lc_070tw_12.wav,0.46816435407253165
In London entwarf die Stararchitektin ein neues,gebäude,25,6.0,13,65,8,276,0.3846153846153846,1.805822329723849,em_hc,328,328,em,s_em_328p.wav,s_em_hc_328tw,0.6064601399476497,s_em_328p.wav,s_em_hc_328tw_12.wav,Stimuli/s_em_328p.wav,Stimuli/s_em_hc_328tw_12.wav,0.4743093666493635
Die Enten schwammen auf dem ,Teich ,24,,2,44,6,15,0.5454545454545454,0.6890092384766586,el,179,179,el,s_el_179p.wav,s_el_179tw,0.236623657030963,s_el_179p.wav,s_el_179tw_6.wav,Stimuli/s_el_179p.wav,Stimuli/s_el_179tw_6.wav,0.47709053269771273
Beim Wandern finden sie auf dem Weg eine,schlange,9,31.0,37,67,9,63,0.1343283582089552,3.317582105071487,eh,58,58,eh,s_eh_058p.wav,s_eh_058tw,0.18664281667961202,s_eh_058p.wav,s_eh_058tw_3.wav,Stimuli/s_eh_058p.wav,Stimuli/s_eh_058tw_3.wav,0.48002503979059685
Der Klempner reinigte das verstopfte,rohr,63,4.0,5,75,6,6,0.84,0.6314857694675223,el,125,125,el,s_el_125p.wav,s_el_125tw,0.7158003800064934,s_el_125p.wav,s_el_125tw_1.wav,Stimuli/s_el_125p.wav,Stimuli/s_el_125tw_1.wav,0.48070538234675886
Im Weltall hört man keine,motoren,1,5.0,17,66,6,242,0.01515151515151515,1.949497901053625,em_lc,291,291,em,s_em_291p.wav,s_em_lc_291tw,0.5828554721303771,s_em_291p.wav,s_em_lc_291tw_12.wav,Stimuli/s_em_291p.wav,Stimuli/s_em_lc_291tw_12.wav,0.4832134754409224
Für ihren runden Geburtstag bestellt Johanna in der Konditorei eine,glocke,0,3.0,3,76,11,10,0.0,0.1399331179559552,el_mm,237,237,el,s_el_237p.wav,s_el_mm_237tw,0.5351537344631945,s_el_237p.wav,s_el_mm_237tw_12.wav,Stimuli/s_el_237p.wav,Stimuli/s_el_mm_237tw_12.wav,0.4878495211447418
Im Streichelzoo gibt es freche,igel,1,5.0,11,65,6,238,0.01538461538461539,1.435100283600329,em_lc,285,285,em,s_em_285p.wav,s_em_lc_285tw,0.683430947346689,s_em_285p.wav,s_em_lc_285tw_12.wav,Stimuli/s_em_285p.wav,Stimuli/s_em_lc_285tw_12.wav,0.49194448778550903
Der Verdächtige fällt besonders auf durch seinen,bart,13,4.0,20,62,8,138,0.2096774193548387,2.58873142166001,eh,147,147,eh,s_eh_147p.wav,s_eh_147tw,0.1496143664546571,s_eh_147p.wav,s_eh_147tw_3.wav,Stimuli/s_eh_147p.wav,Stimuli/s_eh_147tw_3.wav,0.49589141779097756
