Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_word,sentence,word,randomize_2
Das Hochhaus ragte in den,himmel,65,1.0,2,66,6,72,0.9848484848484849,0.07851576409890412,el,74,74,el,s_el_074p.wav,s_el_074tw,0.7750798591104137,s_el_074p.wav,s_el_074tw_1.wav,Stimuli/s_el_074p.wav,Stimuli/s_el_074tw_1.wav,0.8295634208528131
Auf jedem Bild in dieser Galerie findet sich ein,hund,5,14.0,40,64,10,40,0.078125,3.501161615984235,eh,36,36,eh,s_eh_036p.wav,s_eh_036tw,0.9583735260770642,s_eh_036p.wav,s_eh_036tw_1.wav,Stimuli/s_eh_036p.wav,Stimuli/s_eh_036tw_1.wav,0.8312674995664533
Der Plan hat Hand und ,Fuß ,46,,1,46,6,8,1.0,0.0,el,133,133,el,s_el_133p.wav,s_el_133tw,0.014170724707247784,s_el_133p.wav,s_el_133tw_3.wav,Stimuli/s_el_133p.wav,Stimuli/s_el_133tw_3.wav,0.8401395432901776
Wir planen am Wochenende einen,umtrunk,1,9.0,10,65,6,351,0.01538461538461539,0.9442858669382372,em_lc,427,427,em,s_em_427p.wav,s_em_lc_427tw,0.5002182232631666,s_em_427p.wav,s_em_lc_427tw_6.wav,Stimuli/s_em_427p.wav,Stimuli/s_em_lc_427tw_6.wav,0.8415388245476173
Daniela gähnte und rieb sich die Augen vor,müdigkeit,72,2.0,3,75,9,3,0.96,0.1934047144659654,el,62,62,el,s_el_062p.wav,s_el_062tw,0.4743085114708524,s_el_062p.wav,s_el_062tw_12.wav,Stimuli/s_el_062p.wav,Stimuli/s_el_062tw_12.wav,0.8535087944076553
Ich schreibe einen langen Brief an meine,cousine,1,2.0,10,66,8,211,0.01515151515151515,1.673681629766757,em_lc,251,251,em,s_em_251p.wav,s_em_lc_251tw,0.3051902722753459,s_em_251p.wav,s_em_lc_251tw_3.wav,Stimuli/s_em_251p.wav,Stimuli/s_em_lc_251tw_3.wav,0.8541873973041391
Auf der Ladefläche des Transporters befand sich eine,kiste,14,10.0,35,68,9,32,0.2058823529411765,3.189191245204432,eh,27,27,eh,s_eh_027p.wav,s_eh_027tw,0.6681154522385434,s_eh_027p.wav,s_eh_027tw_12.wav,Stimuli/s_eh_027p.wav,Stimuli/s_eh_027tw_12.wav,0.8587788559543826
In dieser Woche hat der Supermarkt ein Angebot für,obst,6,25.0,42,68,10,270,0.08823529411764706,3.579427184510845,eh,321,321,eh,s_eh_321p.wav,s_eh_321tw,0.9171788480024335,s_eh_321p.wav,s_eh_321tw_1.wav,Stimuli/s_eh_321p.wav,Stimuli/s_eh_321tw_1.wav,0.8594642000582184
Der Tod seines Hundes erfüllte ihn mit großer ,Trauer,41,,3,43,9,9,0.9534883720930233,0.220352331161548,el,145,145,el,s_el_145p.wav,s_el_145tw,0.13738981369599523,s_el_145p.wav,s_el_145tw_3.wav,Stimuli/s_el_145p.wav,Stimuli/s_el_145tw_3.wav,0.8609290995007901
In der Nachbarsstadt gibt es die größte Messe für,bücher,7,13.0,49,66,10,261,0.1060606060606061,3.706383995402767,eh,315,315,eh,s_eh_315p.wav,s_eh_315tw,0.9312937117307023,s_eh_315p.wav,s_eh_315tw_1.wav,Stimuli/s_eh_315p.wav,Stimuli/s_eh_315tw_1.wav,0.8615711791099212
Ich beneide meine Nachbarin für ihren schönen,hals,1,8.0,14,59,8,207,0.01694915254237288,1.361699768854784,em_lc,247,247,em,s_em_247p.wav,s_em_lc_247tw,0.6527513470691078,s_em_247p.wav,s_em_lc_247tw_12.wav,Stimuli/s_em_247p.wav,Stimuli/s_em_lc_247tw_12.wav,0.8675741169489319
Auf dem Zeltboden krabbelt eine,wanze,2,5.0,5,67,6,27,0.02985074626865672,0.8825154384639423,em_lc,23,23,em,s_em_023p.wav,s_em_lc_023tw,0.661228382560545,s_em_023p.wav,s_em_lc_023tw_12.wav,Stimuli/s_em_023p.wav,Stimuli/s_em_lc_023tw_12.wav,0.872449185341594
Die Hose war zu eng zum,sitzen,16,16.0,20,66,7,162,0.2424242424242424,2.551013677760933,eh,185,185,eh,s_eh_185p.wav,s_eh_185tw,0.4484569386255255,s_eh_185p.wav,s_eh_185tw_6.wav,Stimuli/s_eh_185p.wav,Stimuli/s_eh_185tw_6.wav,0.8731254791392746
Trotz der aussichtslosen Situation verliert Laura nicht die,hoffnung,37,4.0,11,76,9,20,0.4868421052631579,1.641781404763434,em_hc,404,404,em,s_em_404p.wav,s_em_hc_404tw,0.3314472848586181,s_em_404p.wav,s_em_hc_404tw_6.wav,Stimuli/s_em_404p.wav,Stimuli/s_em_hc_404tw_6.wav,0.8766712105165149
Viola stand vor der geschlossenen Tür und drückte die,klingel,38,2.0,4,76,10,23,0.5,0.9321128820610584,em_hc,418,418,em,s_em_418p.wav,s_em_hc_418tw,0.9849914458260147,s_em_418p.wav,s_em_hc_418tw_1.wav,Stimuli/s_em_418p.wav,Stimuli/s_em_hc_418tw_1.wav,0.8779997017695478
Die junge Frau bat die Bank um einen,kredit,65,2.0,3,68,9,165,0.9558823529411765,0.2088978977593963,el,188,188,el,s_el_188p.wav,s_el_188tw,0.025561326658083083,s_el_188p.wav,s_el_188tw_3.wav,Stimuli/s_el_188p.wav,Stimuli/s_el_188tw_3.wav,0.8781088907522743
Das Wachs tropft von der brennenden,kerze,75,2.0,2,76,7,4,0.9868421052631579,0.07005428087549845,el,81,81,el,s_el_081p.wav,s_el_081tw,0.5294127963751175,s_el_081p.wav,s_el_081tw_12.wav,Stimuli/s_el_081p.wav,Stimuli/s_el_081tw_12.wav,0.8783970119755109
Der Streit zwischen den Nachbarn entstand wegen einer,kleinigkeit,14,14.0,27,68,9,137,0.2058823529411765,2.741549785523619,eh,144,144,eh,s_eh_144p.wav,s_eh_144tw,0.18698409153627138,s_eh_144p.wav,s_eh_144tw_3.wav,Stimuli/s_eh_144p.wav,Stimuli/s_eh_144tw_3.wav,0.8810173279665647
Frau Martin stellten den bösen Schüler in die ,Grube,0,,2,47,9,21,0.0,0.1029666604654124,el_mm,231,231,el,s_el_231p.wav,s_el_mm_231tw,0.9371938662552454,s_el_231p.wav,s_el_mm_231tw_1.wav,Stimuli/s_el_231p.wav,Stimuli/s_el_mm_231tw_1.wav,0.887945481015794
In seiner Werkstatt fertigt der Schmied ein eisernes,schwert,27,9.0,11,66,9,281,0.4090909090909091,1.730942683413564,em_hc,332,332,em,s_em_332p.wav,s_em_hc_332tw,0.6014637546534963,s_em_332p.wav,s_em_hc_332tw_12.wav,Stimuli/s_em_332p.wav,Stimuli/s_em_hc_332tw_12.wav,0.9008507454892583
Ganz hinten unter der Decke liegt ein,kissen,15,13.0,29,68,8,200,0.2205882352941176,2.865993411786329,eh,239,239,eh,s_eh_239p.wav,s_eh_239tw,0.3961614839303652,s_eh_239p.wav,s_eh_239tw_6.wav,Stimuli/s_eh_239p.wav,Stimuli/s_eh_239tw_6.wav,0.9025001952879979
Aus dem Fenster sieht man in der Ferne die hohen,masten,1,6.0,9,64,11,41,0.015625,1.229807721516524,em_lc,37,37,em,s_em_037p.wav,s_em_lc_037tw,0.14822962041441867,s_em_037p.wav,s_em_lc_037tw_3.wav,Stimuli/s_em_037p.wav,Stimuli/s_em_lc_037tw_3.wav,0.903399130900299
Das Tropfen des Wasserhahns hinterließ einen dunkeln,klang,1,5.0,13,68,8,83,0.01470588235294118,1.411263519373775,em_lc,79,79,em,s_em_079p.wav,s_em_lc_079tw,0.16642483838523836,s_em_079p.wav,s_em_lc_079tw_3.wav,Stimuli/s_em_079p.wav,Stimuli/s_em_lc_079tw_3.wav,0.9052066590116133
Der junge Mann trägt die Last auf seinen,nägeln,0,2.0,2,66,9,113,0.0,0.2286318735828613,el_mm,120,120,el,s_el_120p.wav,s_el_mm_120tw,0.802588726887189,s_el_120p.wav,s_el_mm_120tw_1.wav,Stimuli/s_el_120p.wav,Stimuli/s_el_mm_120tw_1.wav,0.9191889392011358
Der warme Sandstrand kitzelt unter den,füßen,57,1.0,6,68,7,141,0.8382352941176471,0.6877726640818627,el,150,150,el,s_el_150p.wav,s_el_150tw,0.28929383993721314,s_el_150p.wav,s_el_150tw_6.wav,Stimuli/s_el_150p.wav,Stimuli/s_el_150tw_6.wav,0.924988103903904
In der Jugendherberge übernachten viele,frauen,1,2.0,12,67,6,257,0.01492537313432836,1.764350618439406,em_lc,311,311,em,s_em_311p.wav,s_em_lc_311tw,0.20680023000236314,s_em_311p.wav,s_em_lc_311tw_3.wav,Stimuli/s_em_311p.wav,Stimuli/s_em_lc_311tw_3.wav,0.9258775415234353
Die Zugvögel flogen nach ,Gefühl,0,,2,53,5,17,0.0,0.1606805620415462,el_mm,220,220,el,s_el_220p.wav,s_el_mm_220tw,0.562866061694065,s_el_220p.wav,s_el_mm_220tw_12.wav,Stimuli/s_el_220p.wav,Stimuli/s_el_mm_220tw_12.wav,0.9266386308200324
Ich gehe zum Fahrradladen und hole eine,pumpe,34,8.0,13,63,8,209,0.5396825396825397,1.525829170617983,em_hc,249,249,em,s_em_249p.wav,s_em_hc_249tw,0.5190454708276653,s_em_249p.wav,s_em_hc_249tw_12.wav,Stimuli/s_em_249p.wav,Stimuli/s_em_hc_249tw_12.wav,0.9381951355952066
Der Winter ist die beste Zeit zum,skifahren,29,12.0,14,66,8,145,0.4393939393939394,1.878044805414511,em_hc,154,154,em,s_em_154p.wav,s_em_hc_154tw,0.825364564747592,s_em_154p.wav,s_em_hc_154tw_1.wav,Stimuli/s_em_154p.wav,Stimuli/s_em_hc_154tw_1.wav,0.9412182620770829
Auf der Straße repariert der Bauarbeiter ein,tor,1,17.0,17,65,8,33,0.01538461538461539,2.083047986725922,em_lc,28,28,em,s_em_028p.wav,s_em_lc_028tw,0.7409783990766099,s_em_028p.wav,s_em_lc_028tw_1.wav,Stimuli/s_em_028p.wav,Stimuli/s_em_lc_028tw_1.wav,0.9425755829283992
Im Zoo füttern die Tierpfleger die hungrigen,löwen,30,7.0,14,68,8,244,0.4411764705882353,1.82565995798843,em_hc,293,293,em,s_em_293p.wav,s_em_hc_293tw,0.718783214233792,s_em_293p.wav,s_em_hc_293tw_12.wav,Stimuli/s_em_293p.wav,Stimuli/s_em_hc_293tw_12.wav,0.9516300505648753
"Es gibt kein schlechtes Wetter, nur schlechte",kleidung,55,3.0,7,76,8,9,0.7236842105263158,0.9080660175937085,em_hc,229,229,em,s_em_229p.wav,s_em_hc_229tw,0.7940231140639905,s_em_229p.wav,s_em_hc_229tw_1.wav,Stimuli/s_em_229p.wav,Stimuli/s_em_hc_229tw_1.wav,0.9633152993590263
Im Sandkasten spielen die Kinder mit Schaufel und,gabel,1,5.0,10,68,9,236,0.01470588235294118,1.334344616596775,em_lc,283,283,em,s_em_283p.wav,s_em_lc_283tw,0.26078138496125214,s_em_283p.wav,s_em_lc_283tw_3.wav,Stimuli/s_em_283p.wav,Stimuli/s_em_lc_283tw_3.wav,0.9689178793198309
Während einer Verfolgungsjagd floh der Verdächtige mit einem,auto,34,1.0,21,68,9,346,0.5,2.093346238520834,em_hc,424,424,em,s_em_424p.wav,s_em_hc_424tw,0.4382262077081055,s_em_424p.wav,s_em_hc_424tw_6.wav,Stimuli/s_em_424p.wav,Stimuli/s_em_hc_424tw_6.wav,0.9693338442020486
Nach einer Veranstaltung putzt die Reinigungsfirma den,stuhl,1,11.0,13,67,8,318,0.01492537313432836,1.598486733010881,em_lc,379,379,em,s_em_379p.wav,s_em_lc_379tw,0.552279896197847,s_em_379p.wav,s_em_lc_379tw_12.wav,Stimuli/s_em_379p.wav,Stimuli/s_em_lc_379tw_12.wav,0.9764901602489885
Beim Skifahren brach sich Jörg das ,Bein ,40,,4,44,7,2,0.9090909090909091,0.3991561674255942,el,54,54,el,s_el_054p.wav,s_el_054tw,0.2542448182581831,s_el_054p.wav,s_el_054tw_6.wav,Stimuli/s_el_054p.wav,Stimuli/s_el_054tw_6.wav,0.9786604443826904
Morgens liest mein Vater,Zeitung,37,,4,40,5,27,0.925,0.3487803849180287,el,361,361,el,s_el_361p.wav,s_el_361tw,0.45192103706338993,s_el_361p.wav,s_el_361tw_12.wav,Stimuli/s_el_361p.wav,Stimuli/s_el_361tw_12.wav,0.9805354785906509
Die junge Katze hat Angst vor dem,tod,1,13.0,16,68,8,166,0.01470588235294118,1.576074886508728,em_lc,190,190,em,s_em_190p.wav,s_em_lc_190tw,0.49604118655466645,s_em_190p.wav,s_em_lc_190tw_6.wav,Stimuli/s_em_190p.wav,Stimuli/s_em_lc_190tw_6.wav,0.987067378462645
Die Forscherin entdeckt eine neue Pflanzenart im,dschungel,16,7.0,21,66,8,157,0.2424242424242424,2.513229419959056,eh,183,183,eh,s_eh_183p.wav,s_eh_183tw,0.04850861546355978,s_eh_183p.wav,s_eh_183tw_3.wav,Stimuli/s_eh_183p.wav,Stimuli/s_eh_183tw_3.wav,0.9976221977118103
Der Investmentbänker verliert sein ganzes Geld an der,börse,64,1.0,3,67,9,110,0.9552238805970149,0.2113372209411319,el,115,115,el,s_el_115p.wav,s_el_115tw,0.8900971210942344,s_el_115p.wav,s_el_115tw_1.wav,Stimuli/s_el_115p.wav,Stimuli/s_el_115tw_1.wav,0.999279294254626
