Sentence;Target_word;WordPredictions;wn;nwords;nprt;nw;sn;cloze;entropy;condition;sn_rand;sn_0;Prior;Sentences;Target_word;randomization;Web_Audio;Single_Word;sentence;word;randomize_3
Das feuchte Handtuch h�ngt an dem;ofen;1;8;14;66;7;68;0,015151515;1,571622132;em_lc;68;068;em;s_em_068p.wav;s_em_lc_068tw;0,428594904;s_em_068p.wav;s_em_lc_068tw_12.wav;Stimuli/s_em_068p.wav;Stimuli/s_em_lc_068tw_12.wav;0,061673896
Der Verd�chtige f�llt besonders auf durch seinen;bart;13;4;20;62;8;138;0,209677419;2,588731422;eh;147;147;eh;s_eh_147p.wav;s_eh_147tw;0,149614366;s_eh_147p.wav;s_eh_147tw_6.wav;Stimuli/s_eh_147p.wav;Stimuli/s_eh_147tw_6.wav;0,066851235
Am liebsten liest sie Fantasy-Romane �ber;drachen;13;3;28;66;7;8;0,196969697;2,933257173;eh;9;009;eh;s_eh_009p.wav;s_eh_009tw;0,726604075;s_eh_009p.wav;s_eh_009tw_1.wav;Stimuli/s_eh_009p.wav;Stimuli/s_eh_009tw_1.wav;0,069120961
Der Apfelkuchen war von ausgezeichnetem ;Geschmack ;37;;5;41;6;4;0,902439024;0,454938828;el;86;086;el;s_el_086p.wav;s_el_086tw;0,245719849;s_el_086p.wav;s_el_086tw_12.wav;Stimuli/s_el_086p.wav;Stimuli/s_el_086tw_12.wav;0,06923456
Die Feuerwehrleute retten die Menschen aus einem brennenden;busch;0;5;6;67;9;156;0;0,569574945;el_mm;181;181;el;s_el_181p.wav;s_el_mm_181tw;0,11287395;s_el_181p.wav;s_el_mm_181tw_6.wav;Stimuli/s_el_181p.wav;Stimuli/s_el_mm_181tw_6.wav;0,070400639
Im Kasino verlor Andr� sein ganzes;korn;0;2;4;76;7;12;0;0,576324579;el_mm;276;276;el;s_el_276p.wav;s_el_mm_276tw;0,237532723;s_el_276p.wav;s_el_mm_276tw_12.wav;Stimuli/s_el_276p.wav;Stimuli/s_el_mm_276tw_12.wav;0,073442129
Meine Pommes esse ich am liebsten mit Ketchup und;salat;0;1;1;76;10;16;0;0;el_mm;352;352;el;s_el_352p.wav;s_el_mm_352tw;0,496238641;s_el_352p.wav;s_el_mm_352tw_1.wav;Stimuli/s_el_352p.wav;Stimuli/s_el_mm_352tw_1.wav;0,080832349
Die lange steile Treppe f�hrt zum;dachboden;17;8;29;66;7;174;0,257575758;2,864106075;eh;203;203;eh;s_eh_203p.wav;s_eh_203tw;0,190743719;s_eh_203p.wav;s_eh_203tw_6.wav;Stimuli/s_eh_203p.wav;Stimuli/s_eh_203tw_6.wav;0,081863638
Der Klempner reinigte das verstopfte;rohr;63;4;5;75;6;6;0,84;0,631485769;el;125;125;el;s_el_125p.wav;s_el_125tw;0,71580038;s_el_125p.wav;s_el_125tw_3.wav;Stimuli/s_el_125p.wav;Stimuli/s_el_125tw_3.wav;0,081960274
Er sah Licht am Ende des;Tunnels;42;;5;47;7;18;0,893617021;0,480606786;el;224;224;el;s_el_224p.wav;s_el_224tw;0,170124211;s_el_224p.wav;s_el_224tw_6.wav;Stimuli/s_el_224p.wav;Stimuli/s_el_224tw_6.wav;0,097795095
Bei einem Strandspaziergang entdeckten sie am Ufer einen;wal;11;31;31;67;9;52;0,164179104;3,090458648;eh;47;047;eh;s_eh_047p.wav;s_eh_047tw;0,243020308;s_eh_047p.wav;s_eh_047tw_12.wav;Stimuli/s_eh_047p.wav;Stimuli/s_eh_047tw_12.wav;0,098564199
Die Kinder spielen mit einem Ball im;dreieck;1;2;18;68;8;170;0,014705882;2,003541274;em_lc;197;197;em;s_em_197p.wav;s_em_lc_197tw;0,845667602;s_em_197p.wav;s_em_lc_197tw_3.wav;Stimuli/s_em_197p.wav;Stimuli/s_em_lc_197tw_3.wav;0,102293662
Hinter den sieben Bergen wohnen die sieben;kr�ten;0;1;1;67;8;206;0;0;el_mm;245;245;el;s_el_245p.wav;s_el_mm_245tw;0,121454219;s_el_245p.wav;s_el_mm_245tw_6.wav;Stimuli/s_el_245p.wav;Stimuli/s_el_mm_245tw_6.wav;0,109733779
Die U-Bahn am Marienplatz war voller;ratten;1;12;17;66;7;185;0,015151515;1,642563515;em_lc;213;213;em;s_em_213p.wav;s_em_lc_213tw;0,407193726;s_em_213p.wav;s_em_lc_213tw_12.wav;Stimuli/s_em_213p.wav;Stimuli/s_em_lc_213tw_12.wav;0,116345945
In dem Gruselkabinett gibt es viele;geister;27;4;14;66;7;247;0,409090909;1,9832707;em_hc;300;300;em;s_em_300p.wav;s_em_hc_300tw;0,442407423;s_em_300p.wav;s_em_hc_300tw_12.wav;Stimuli/s_em_300p.wav;Stimuli/s_em_hc_300tw_12.wav;0,123213266
Das Hochhaus ragte in den;himmel;65;1;2;66;6;72;0,984848485;0,078515764;el;74;074;el;s_el_074p.wav;s_el_074tw;0,775079859;s_el_074p.wav;s_el_074tw_3.wav;Stimuli/s_el_074p.wav;Stimuli/s_el_074tw_3.wav;0,128541287
Ich schreibe einen langen Brief an meine;cousine;1;2;10;66;8;211;0,015151515;1,67368163;em_lc;251;251;em;s_em_251p.wav;s_em_lc_251tw;0,305190272;s_em_251p.wav;s_em_lc_251tw_6.wav;Stimuli/s_em_251p.wav;Stimuli/s_em_lc_251tw_6.wav;0,12897008
Das Feuer im Kamin knistert und verbreitet;dreck;1;1;11;66;8;69;0,015151515;0,97153133;em_lc;70;070;em;s_em_070p.wav;s_em_lc_070tw;0,729674507;s_em_070p.wav;s_em_lc_070tw_1.wav;Stimuli/s_em_070p.wav;Stimuli/s_em_lc_070tw_1.wav;0,13171643
W�hrend der Konzerttage spielt die Musikerin ein St�ck auf ihrer;geige;23;4;12;68;11;345;0,338235294;1,990518482;em_hc;422;422;em;s_em_422p.wav;s_em_hc_422tw;0,864047883;s_em_422p.wav;s_em_hc_422tw_3.wav;Stimuli/s_em_422p.wav;Stimuli/s_em_hc_422tw_3.wav;0,143239735
N�chstes Jahr kommt mein kleiner Sohn schon in die ;Miene;0;;2;47;10;30;0;0,10296666;el_mm;384;384;el;s_el_384p.wav;s_el_mm_384tw;0,105955023;s_el_384p.wav;s_el_mm_384tw_6.wav;Stimuli/s_el_384p.wav;Stimuli/s_el_mm_384tw_6.wav;0,149642677
Die Blumen auf dem Balkon brauchen dringend;kekse;0;3;3;68;8;152;0;0,208897898;el_mm;172;172;el;s_el_172p.wav;s_el_mm_172tw;0,725899402;s_el_172p.wav;s_el_mm_172tw_3.wav;Stimuli/s_el_172p.wav;Stimuli/s_el_mm_172tw_3.wav;0,163714083
Die junge Frau bat die Bank um einen;kredit;65;2;3;68;9;165;0,955882353;0,208897898;el;188;188;el;s_el_188p.wav;s_el_188tw;0,025561327;s_el_188p.wav;s_el_188tw_6.wav;Stimuli/s_el_188p.wav;Stimuli/s_el_188tw_6.wav;0,180235324
Ungeduldig schaut Toni auf ihre;kuh;0;5;5;76;6;22;0;0,374279343;el_mm;415;415;el;s_el_415p.wav;s_el_mm_415tw;0,005993606;s_el_415p.wav;s_el_mm_415tw_6.wav;Stimuli/s_el_415p.wav;Stimuli/s_el_mm_415tw_6.wav;0,182213377
Der Streit zwischen den Nachbarn entstand wegen einer;kleinigkeit;14;14;27;68;9;137;0,205882353;2,741549786;eh;144;144;eh;s_eh_144p.wav;s_eh_144tw;0,186984092;s_eh_144p.wav;s_eh_144tw_6.wav;Stimuli/s_eh_144p.wav;Stimuli/s_eh_144tw_6.wav;0,192194722
Die Kaffeetasse auf dem Tisch hat ein Muster mit;blumen;25;2;26;68;10;167;0,367647059;2,605279363;eh;192;192;eh;s_eh_192p.wav;s_eh_192tw;0,854881305;s_eh_192p.wav;s_eh_192tw_1.wav;Stimuli/s_eh_192p.wav;Stimuli/s_eh_192tw_1.wav;0,192826979
Mit dem 3-D Drucker fertigt Marius eine;skulptur;9;28;35;65;8;299;0,138461538;3,234490725;eh;356;356;eh;s_eh_356p.wav;s_eh_356tw;0,970975414;s_eh_356p.wav;s_eh_356tw_3.wav;Stimuli/s_eh_356p.wav;Stimuli/s_eh_356tw_3.wav;0,200818727
In den Bergen �bernachten die G�ste in einer gem�tlichen;h�tte;50;3;9;66;10;250;0,757575758;1,01595635;em_hc;304;304;em;s_em_304p.wav;s_em_hc_304tw;0,741517482;s_em_304p.wav;s_em_hc_304tw_1.wav;Stimuli/s_em_304p.wav;Stimuli/s_em_hc_304tw_1.wav;0,202215669
Nach einer langen Autofahrt erreichte die Familie endlich das;ziel;53;8;8;68;10;315;0,779411765;0,933840517;em_hc;375;375;em;s_em_375p.wav;s_em_hc_375tw;0,289829413;s_em_375p.wav;s_em_hc_375tw_12.wav;Stimuli/s_em_375p.wav;Stimuli/s_em_hc_375tw_12.wav;0,208711931
An Weihnachten schm�ckte die ganze Familie den Baum mit;kugeln;39;7;13;65;10;16;0,6;1,453515469;em_hc;11;011;em;s_em_011p.wav;s_em_hc_011tw;0,139336561;s_em_011p.wav;s_em_hc_011tw_6.wav;Stimuli/s_em_011p.wav;Stimuli/s_em_hc_011tw_6.wav;0,210675654
Am ersten Wintertag hatte sein Auto zugefrorene ;Polster;0;;5;44;8;1;0;0,430662857;el_mm;7;007;el;s_el_007p.wav;s_el_mm_007tw;0,502953577;s_el_007p.wav;s_el_mm_007tw_1.wav;Stimuli/s_el_007p.wav;Stimuli/s_el_mm_007tw_1.wav;0,214663887
Der Bieber baut seinen Damm aus vielen;�sten;31;1;10;67;8;90;0,462686567;1,675670624;em_hc;93;093;em;s_em_093p.wav;s_em_hc_093tw;0,661985526;s_em_093p.wav;s_em_hc_093tw_1.wav;Stimuli/s_em_093p.wav;Stimuli/s_em_hc_093tw_1.wav;0,242221945
Auf jedem Bild in dieser Galerie findet sich ein;hund;5;14;40;64;10;40;0,078125;3,501161616;eh;36;036;eh;s_eh_036p.wav;s_eh_036tw;0,958373526;s_eh_036p.wav;s_eh_036tw_3.wav;Stimuli/s_eh_036p.wav;Stimuli/s_eh_036tw_3.wav;0,243275157
Im Zoo sprang die Robbe durch einen;reifen;42;3;7;76;8;13;0,552631579;1,019284069;em_hc;295;295;em;s_em_295p.wav;s_em_hc_295tw;0,938798487;s_em_295p.wav;s_em_hc_295tw_3.wav;Stimuli/s_em_295p.wav;Stimuli/s_em_hc_295tw_3.wav;0,244404073
In der Schule lernen die Kinder;lesen;27;5;15;68;7;265;0,397058824;1,98044762;em_hc;317;317;em;s_em_317p.wav;s_em_hc_317tw;0,781152058;s_em_317p.wav;s_em_hc_317tw_3.wav;Stimuli/s_em_317p.wav;Stimuli/s_em_hc_317tw_3.wav;0,25024852
Im Kofferraum versteckte der Ganove die;beute;21;1;11;66;7;231;0,318181818;1,898842827;em_hc;279;279;em;s_em_279p.wav;s_em_hc_279tw;0,249400722;s_em_279p.wav;s_em_hc_279tw_12.wav;Stimuli/s_em_279p.wav;Stimuli/s_em_hc_279tw_12.wav;0,251087442
Auf dem Bauernhof gibt es viele grunzende;schweine;72;4;5;76;8;2;0,947368421;0,279154912;el;13;013;el;s_el_013p.wav;s_el_013tw;0,3781672;s_el_013p.wav;s_el_013tw_12.wav;Stimuli/s_el_013p.wav;Stimuli/s_el_013tw_12.wav;0,251677097
Der Skilift schaukelte bedenklich im;wind;64;7;7;76;6;7;0,842105263;0,668820597;el;140;140;el;s_el_140p.wav;s_el_140tw;0,60270142;s_el_140p.wav;s_el_140tw_1.wav;Stimuli/s_el_140p.wav;Stimuli/s_el_140tw_1.wav;0,266075163
Ihr Gro�vater vererbte ihr seine wertvolle;uhr;36;11;12;68;7;216;0,529411765;1,584654678;em_hc;259;259;em;s_em_259p.wav;s_em_hc_259tw;0,329226922;s_em_259p.wav;s_em_hc_259tw_12.wav;Stimuli/s_em_259p.wav;Stimuli/s_em_hc_259tw_12.wav;0,271911051
F�r die Vorratshaltung am besten geeignet sind Konserven mit;deckel;9;3;30;68;10;196;0,132352941;2,999887306;eh;234;234;eh;s_eh_234p.wav;s_eh_234tw;0,512060237;s_eh_234p.wav;s_eh_234tw_12.wav;Stimuli/s_eh_234p.wav;Stimuli/s_eh_234tw_12.wav;0,272681796
In dieser Woche hat der Supermarkt ein Angebot f�r;obst;6;25;42;68;10;270;0,088235294;3,579427185;eh;321;321;eh;s_eh_321p.wav;s_eh_321tw;0,917178848;s_eh_321p.wav;s_eh_321tw_3.wav;Stimuli/s_eh_321p.wav;Stimuli/s_eh_321tw_3.wav;0,274706258
Der Fluss durch die Stadt f�hrt direkt zum;meer;31;6;16;66;9;99;0,46969697;1,824052822;em_hc;107;107;em;s_em_107p.wav;s_em_hc_107tw;0,796966834;s_em_107p.wav;s_em_hc_107tw_3.wav;Stimuli/s_em_107p.wav;Stimuli/s_em_hc_107tw_3.wav;0,280648262
Der See ist ein beliebter Ort zum;angeln;1;1;13;68;8;132;0,014705882;1,717522048;em_lc;137;137;em;s_em_137p.wav;s_em_lc_137tw;0,160010556;s_em_137p.wav;s_em_lc_137tw_6.wav;Stimuli/s_em_137p.wav;Stimuli/s_em_lc_137tw_6.wav;0,290414632
Nach vielen Niederlagen steht die Fu�ballmannschaft kurz vor dem;abstieg;30;1;8;76;10;19;0,394736842;1,354694129;em_hc;382;382;em;s_em_382p.wav;s_em_hc_382tw;0,07876377;s_em_382p.wav;s_em_hc_382tw_6.wav;Stimuli/s_em_382p.wav;Stimuli/s_em_hc_382tw_6.wav;0,292700491
Die Kellnerin serviert den Nachtisch auf dem;tablett;42;6;10;65;8;169;0,646153846;1,272459244;em_hc;195;195;em;s_em_195p.wav;s_em_hc_195tw;0,015160799;s_em_195p.wav;s_em_hc_195tw_6.wav;Stimuli/s_em_195p.wav;Stimuli/s_em_hc_195tw_6.wav;0,293455707
Frau Martin stellten den b�sen Sch�ler in die ;Grube;0;;2;47;9;21;0;0,10296666;el_mm;231;231;el;s_el_231p.wav;s_el_mm_231tw;0,937193866;s_el_231p.wav;s_el_mm_231tw_3.wav;Stimuli/s_el_231p.wav;Stimuli/s_el_mm_231tw_3.wav;0,299118536
Nach dem Essen bezahlte er die ;zweige;0;;4;43;7;28;0;0,482110283;el_mm;363;363;el;s_el_363p.wav;s_el_mm_363tw;0,258799358;s_el_363p.wav;s_el_mm_363tw_12.wav;Stimuli/s_el_363p.wav;Stimuli/s_el_mm_363tw_12.wav;0,29963194
Wir treffen uns heute Nachmittag im;foyer;1;4;12;68;7;352;0,014705882;1,773827067;em_lc;429;429;em;s_em_429p.wav;s_em_lc_429tw;0,420344955;s_em_429p.wav;s_em_lc_429tw_12.wav;Stimuli/s_em_429p.wav;Stimuli/s_em_lc_429tw_12.wav;0,308045352
Die alte Stra�enbahn rattert auf den;schienen;45;4;5;68;7;150;0,661764706;0,857295249;em_hc;166;166;em;s_em_166p.wav;s_em_hc_166tw;0,202582004;s_em_166p.wav;s_em_hc_166tw_6.wav;Stimuli/s_em_166p.wav;Stimuli/s_em_hc_166tw_6.wav;0,310695351
Die Zugv�gel flogen nach ;Gef�hl;0;;2;53;5;17;0;0,160680562;el_mm;220;220;el;s_el_220p.wav;s_el_mm_220tw;0,562866062;s_el_220p.wav;s_el_mm_220tw_1.wav;Stimuli/s_el_220p.wav;Stimuli/s_el_mm_220tw_1.wav;0,323411765
Auf der Ladefl�che des Transporters befand sich eine;kiste;14;10;35;68;9;32;0,205882353;3,189191245;eh;27;027;eh;s_eh_027p.wav;s_eh_027tw;0,668115452;s_eh_027p.wav;s_eh_027tw_1.wav;Stimuli/s_eh_027p.wav;Stimuli/s_eh_027tw_1.wav;0,345074931
Als Kind liebte sie das M�rchen von H�nsel und;nemo;0;1;1;66;10;2;0;0;el_mm;1;001;el;s_el_001p.wav;s_el_mm_001tw;0,547317068;s_el_001p.wav;s_el_mm_001tw_1.wav;Stimuli/s_el_001p.wav;Stimuli/s_el_mm_001tw_1.wav;0,346566558
Sie strengte sich an, aber erkannte keine;muster;8;26;41;67;8;331;0,119402985;3,489619068;eh;400;400;eh;s_eh_400p.wav;s_eh_400tw;0,200478071;s_eh_400p.wav;s_eh_400tw_6.wav;Stimuli/s_eh_400p.wav;Stimuli/s_eh_400tw_6.wav;0,347163611
Der Zug lag noch gut in der ;Zeit;50;;3;53;8;12;0,943396226;0,253547675;el;162;162;el;s_el_162p.wav;s_el_162tw;0,495998612;s_el_162p.wav;s_el_162tw_1.wav;Stimuli/s_el_162p.wav;Stimuli/s_el_162tw_1.wav;0,348065953
Der Fahrer f�hrt die Staatsg�ste sicher durch die;nacht;1;11;16;68;9;95;0,014705882;1,543851091;em_lc;100;100;em;s_em_100p.wav;s_em_lc_100tw;0,177752056;s_em_100p.wav;s_em_lc_100tw_6.wav;Stimuli/s_em_100p.wav;Stimuli/s_em_lc_100tw_6.wav;0,350781857
Die Polizistin verhaftete den Verd�chtigen auf der;parkbank;1;5;10;67;8;179;0,014925373;1,203621626;em_lc;207;207;em;s_em_207p.wav;s_em_lc_207tw;0,585745049;s_em_207p.wav;s_em_lc_207tw_1.wav;Stimuli/s_em_207p.wav;Stimuli/s_em_lc_207tw_1.wav;0,350855486
Mein Vater durchsucht den Werkzeugkasten nach einer;zange;28;13;13;67;8;293;0,417910448;1,699390604;em_hc;350;350;em;s_em_350p.wav;s_em_hc_350tw;0,038315414;s_em_350p.wav;s_em_hc_350tw_6.wav;Stimuli/s_em_350p.wav;Stimuli/s_em_hc_350tw_6.wav;0,355869559
Beim Skifahren brach sich J�rg das ;Bein ;40;;4;44;7;2;0,909090909;0,399156167;el;54;054;el;s_el_054p.wav;s_el_054tw;0,254244818;s_el_054p.wav;s_el_054tw_12.wav;Stimuli/s_el_054p.wav;Stimuli/s_el_054tw_12.wav;0,370720919
Er spaltete das Holz mit einer gro�en ;Axt;43;;1;43;8;19;1;0;el;227;227;el;s_el_227p.wav;s_el_227tw;0,366795416;s_el_227p.wav;s_el_227tw_12.wav;Stimuli/s_el_227p.wav;Stimuli/s_el_227tw_12.wav;0,375326688
In seiner Werkstatt fertigt der Schmied ein eisernes;schwert;27;9;11;66;9;281;0,409090909;1,730942683;em_hc;332;332;em;s_em_332p.wav;s_em_hc_332tw;0,601463755;s_em_332p.wav;s_em_hc_332tw_1.wav;Stimuli/s_em_332p.wav;Stimuli/s_em_hc_332tw_1.wav;0,376760796
Bei Nacht spendet die Stra�enlaterne helles;licht;68;1;1;68;7;53;1;0;el;48;048;el;s_el_048p.wav;s_el_048tw;0,809266629;s_el_048p.wav;s_el_048tw_3.wav;Stimuli/s_el_048p.wav;Stimuli/s_el_048tw_3.wav;0,379650442
Von dem Lottogewinn kauft er sich ein schnelles;dreirad;0;1;9;65;9;342;0;0,685064362;el_mm;420;420;el;s_el_420p.wav;s_el_mm_420tw;0,140248908;s_el_420p.wav;s_el_mm_420tw_6.wav;Stimuli/s_el_420p.wav;Stimuli/s_el_mm_420tw_6.wav;0,38356699
Das Parf�m der Rezeptionistin duftete angenehm nach;rosen;26;15;19;66;8;82;0,393939394;2,042440331;em_hc;77;077;em;s_em_077p.wav;s_em_hc_077tw;0,171671864;s_em_077p.wav;s_em_hc_077tw_6.wav;Stimuli/s_em_077p.wav;Stimuli/s_em_hc_077tw_6.wav;0,386099358
In der Schwangerschaft a� sie besonders gerne;gurken;16;14;30;67;8;266;0,23880597;2,825803424;eh;319;319;eh;s_eh_319p.wav;s_eh_319tw;0,350488636;s_eh_319p.wav;s_eh_319tw_12.wav;Stimuli/s_eh_319p.wav;Stimuli/s_eh_319tw_12.wav;0,393384578
Im Aquarium gibt es neben Fischen auch;pflanzen;11;12;24;65;8;220;0,169230769;2,792576662;eh;267;267;eh;s_eh_267p.wav;s_eh_267tw;0,400719457;s_eh_267p.wav;s_eh_267tw_12.wav;Stimuli/s_eh_267p.wav;Stimuli/s_eh_267tw_12.wav;0,395605622
Meine Schwester studiert Medizin an der;universit�t;49;6;6;67;7;296;0,731343284;0,974417802;em_hc;354;354;em;s_em_354p.wav;s_em_hc_354tw;0,055949994;s_em_354p.wav;s_em_hc_354tw_6.wav;Stimuli/s_em_354p.wav;Stimuli/s_em_hc_354tw_6.wav;0,406864916
Nach den vielen Stufen war sie au�er;atem;53;1;4;66;8;309;0,803030303;0,601740811;el;368;368;el;s_el_368p.wav;s_el_368tw;0,506928222;s_el_368p.wav;s_el_368tw_1.wav;Stimuli/s_el_368p.wav;Stimuli/s_el_368tw_1.wav;0,408571532
Heute gab es zu den Kartoffeln nur;quark;13;15;23;64;8;205;0,203125;2,730844775;eh;244;244;eh;s_eh_244p.wav;s_eh_244tw;0,716698017;s_eh_244p.wav;s_eh_244tw_1.wav;Stimuli/s_eh_244p.wav;Stimuli/s_eh_244tw_1.wav;0,414883085
Der Sicherheitsbeauftragte entdeckte gro�e M�ngel bei den;t�ren;4;45;49;67;8;133;0,059701493;3,759634712;eh;139;139;eh;s_eh_139p.wav;s_eh_139tw;0,861839087;s_eh_139p.wav;s_eh_139tw_3.wav;Stimuli/s_eh_139p.wav;Stimuli/s_eh_139tw_3.wav;0,420135358
Der junge Mann tr�gt die Last auf seinen;n�geln;0;2;2;66;9;113;0;0,228631874;el_mm;120;120;el;s_el_120p.wav;s_el_mm_120tw;0,802588727;s_el_120p.wav;s_el_mm_120tw_3.wav;Stimuli/s_el_120p.wav;Stimuli/s_el_mm_120tw_3.wav;0,423886048
Der Tod seines Hundes erf�llte ihn mit gro�er ;Trauer;41;;3;43;9;9;0,953488372;0,220352331;el;145;145;el;s_el_145p.wav;s_el_145tw;0,137389814;s_el_145p.wav;s_el_145tw_6.wav;Stimuli/s_el_145p.wav;Stimuli/s_el_145tw_6.wav;0,426930274
Nach dem Essen sp�lten sie das ;Geschirr;44;;1;44;7;29;1;0;el;365;365;el;s_el_365p.wav;s_el_365tw;0,164377185;s_el_365p.wav;s_el_365tw_6.wav;Stimuli/s_el_365p.wav;Stimuli/s_el_365tw_6.wav;0,433698307
W�hrend einer Verfolgungsjagd floh der Verd�chtige mit einem;auto;34;1;21;68;9;346;0,5;2,093346239;em_hc;424;424;em;s_em_424p.wav;s_em_hc_424tw;0,438226208;s_em_424p.wav;s_em_hc_424tw_12.wav;Stimuli/s_em_424p.wav;Stimuli/s_em_hc_424tw_12.wav;0,442251116
Der Zauberer verriet dem Publikum seinen ;weg;0;;4;47;7;11;0;0,20547075;el_mm;160;160;el;s_el_160p.wav;s_el_mm_160tw;0,443712154;s_el_160p.wav;s_el_mm_160tw_12.wav;Stimuli/s_el_160p.wav;Stimuli/s_el_mm_160tw_12.wav;0,444992523
Kurz vor der Ziellinie fiel der Reiter von seinem;strau�;0;1;3;66;10;287;0;0,213839861;el_mm;342;342;el;s_el_342p.wav;s_el_mm_342tw;0,359352091;s_el_342p.wav;s_el_mm_342tw_12.wav;Stimuli/s_el_342p.wav;Stimuli/s_el_mm_342tw_12.wav;0,445312387
Aus dem Tresor stehlen die Bankr�uber wertvolle;diamanten;8;5;26;65;8;43;0,123076923;2,981211014;eh;40;040;eh;s_eh_040p.wav;s_eh_040tw;0,004936903;s_eh_040p.wav;s_eh_040tw_6.wav;Stimuli/s_eh_040p.wav;Stimuli/s_eh_040tw_6.wav;0,447330923
