Sentence;Target_word;WordPredictions;wn;nwords;nprt;nw;sn;cloze;entropy;condition;sn_rand;sn_0;Prior;Sentences;Target_word;randomization;Web_Audio;Single_word;sentence;word;randomize_4
Er sah Licht am Ende des;Tunnels;42;;5;47;7;18;0,893617021;0,480606786;el;224;224;el;s_el_224p.wav;s_el_224tw;0,170124211;s_el_224p.wav;s_el_224tw_12.wav;Stimuli/s_el_224p.wav;Stimuli/s_el_224tw_12.wav;0,133018668
Der Fahrer fährt die Staatsgäste sicher durch die;nacht;1;11;16;68;9;95;0,014705882;1,543851091;em_lc;100;100;em;s_em_100p.wav;s_em_lc_100tw;0,177752056;s_em_100p.wav;s_em_lc_100tw_12.wav;Stimuli/s_em_100p.wav;Stimuli/s_em_lc_100tw_12.wav;0,133724159
In der Schwangerschaft aß sie besonders gerne;gurken;16;14;30;67;8;266;0,23880597;2,825803424;eh;319;319;eh;s_eh_319p.wav;s_eh_319tw;0,350488636;s_eh_319p.wav;s_eh_319tw_1.wav;Stimuli/s_eh_319p.wav;Stimuli/s_eh_319tw_1.wav;0,141060293
Er spaltete das Holz mit einer großen ;Axt;43;;1;43;8;19;1;0;el;227;227;el;s_el_227p.wav;s_el_227tw;0,366795416;s_el_227p.wav;s_el_227tw_1.wav;Stimuli/s_el_227p.wav;Stimuli/s_el_227tw_1.wav;0,145071282
Im Kindergarten bekamen die meisten Kinder in dieser Woche;läuse;5;20;38;67;10;229;0,074626866;3,440694712;eh;278;278;eh;s_eh_278p.wav;s_eh_278tw;0,177202132;s_eh_278p.wav;s_eh_278tw_12.wav;Stimuli/s_eh_278p.wav;Stimuli/s_eh_278tw_12.wav;0,149439817
Ihr Großvater vererbte ihr seine wertvolle;uhr;36;11;12;68;7;216;0,529411765;1,584654678;em_hc;259;259;em;s_em_259p.wav;s_em_hc_259tw;0,329226922;s_em_259p.wav;s_em_hc_259tw_1.wav;Stimuli/s_em_259p.wav;Stimuli/s_em_hc_259tw_1.wav;0,15027456
Der warme Sandstrand kitzelt unter den;füßen;57;1;6;68;7;141;0,838235294;0,687772664;el;150;150;el;s_el_150p.wav;s_el_150tw;0,28929384;s_el_150p.wav;s_el_150tw_1.wav;Stimuli/s_el_150p.wav;Stimuli/s_el_150tw_1.wav;0,153362337
Es gibt kein schlechtes Wetter, nur schlechte;kleidung;55;3;7;76;8;9;0,723684211;0,908066018;em_hc;229;229;em;s_em_229p.wav;s_em_hc_229tw;0,794023114;s_em_229p.wav;s_em_hc_229tw_6.wav;Stimuli/s_em_229p.wav;Stimuli/s_em_hc_229tw_6.wav;0,159364896
Im Aquarium gibt es neben Fischen auch;pflanzen;11;12;24;65;8;220;0,169230769;2,792576662;eh;267;267;eh;s_eh_267p.wav;s_eh_267tw;0,400719457;s_eh_267p.wav;s_eh_267tw_1.wav;Stimuli/s_eh_267p.wav;Stimuli/s_eh_267tw_1.wav;0,16207754
Inspiriert von ihrem neuen Buch begann sie mit dem;häkeln;1;3;18;68;10;282;0,014705882;1,933184099;em_lc;336;336;em;s_em_336p.wav;s_em_lc_336tw;0,551861132;s_em_336p.wav;s_em_lc_336tw_1.wav;Stimuli/s_em_336p.wav;Stimuli/s_em_lc_336tw_1.wav;0,163279141
Das Wachs tropft von der brennenden;kerze;75;2;2;76;7;4;0,986842105;0,070054281;el;81;081;el;s_el_081p.wav;s_el_081tw;0,529412796;s_el_081p.wav;s_el_081tw_3.wav;Stimuli/s_el_081p.wav;Stimuli/s_el_081tw_3.wav;0,178497743
Mit dem 3-D Drucker fertigt Marius eine;skulptur;9;28;35;65;8;299;0,138461538;3,234490725;eh;356;356;eh;s_eh_356p.wav;s_eh_356tw;0,970975414;s_eh_356p.wav;s_eh_356tw_6.wav;Stimuli/s_eh_356p.wav;Stimuli/s_eh_356tw_6.wav;0,179382245
Der Feuerlöscher befindet sich neben der;scheune;1;8;12;66;7;97;0,015151515;1,18929533;em_lc;104;104;em;s_em_104p.wav;s_em_lc_104tw;0,914091226;s_em_104p.wav;s_em_lc_104tw_6.wav;Stimuli/s_em_104p.wav;Stimuli/s_em_lc_104tw_6.wav;0,183773499
Die Hose war zu eng zum;sitzen;16;16;20;66;7;162;0,242424242;2,551013678;eh;185;185;eh;s_eh_185p.wav;s_eh_185tw;0,448456939;s_eh_185p.wav;s_eh_185tw_1.wav;Stimuli/s_eh_185p.wav;Stimuli/s_eh_185tw_1.wav;0,183813111
Zu ihrem Kleid trug sie passende;krüge;0;4;8;67;7;353;0;0,648300331;el_mm;431;431;el;s_el_431p.wav;s_el_mm_431tw;0,725487985;s_el_431p.wav;s_el_mm_431tw_6.wav;Stimuli/s_el_431p.wav;Stimuli/s_el_mm_431tw_6.wav;0,195838825
In dem Lexikon suchte Andrea nach einem Eintrag über;elefanten;3;16;54;68;10;249;0,044117647;3,903314858;eh;303;303;eh;s_eh_303p.wav;s_eh_303tw;0,155393413;s_eh_303p.wav;s_eh_303tw_12.wav;Stimuli/s_eh_303p.wav;Stimuli/s_eh_303tw_12.wav;0,196809105
Mein Vater durchsucht den Werkzeugkasten nach einer;zange;28;13;13;67;8;293;0,417910448;1,699390604;em_hc;350;350;em;s_em_350p.wav;s_em_hc_350tw;0,038315414;s_em_350p.wav;s_em_hc_350tw_12.wav;Stimuli/s_em_350p.wav;Stimuli/s_em_hc_350tw_12.wav;0,201640484
Zu Risiken und Nebenwirkungen fragen Sie Ihren Arzt oder;elektriker;0;1;2;75;10;24;0;0,122956999;el_mm;433;433;el;s_el_433p.wav;s_el_mm_433tw;0,212365739;s_el_433p.wav;s_el_mm_433tw_1.wav;Stimuli/s_el_433p.wav;Stimuli/s_el_mm_433tw_1.wav;0,204247717
Im Labor untersuchten die Wissenschaftler die;proben;15;19;31;68;7;233;0,220588235;2,98772207;eh;281;281;eh;s_eh_281p.wav;s_eh_281tw;0,786245715;s_eh_281p.wav;s_eh_281tw_3.wav;Stimuli/s_eh_281p.wav;Stimuli/s_eh_281tw_3.wav;0,20623193
Im Supermarkt kaufen wir eine Flasche;öl;1;6;15;66;8;240;0,015151515;1,840455;em_lc;289;289;em;s_em_289p.wav;s_em_lc_289tw;0,392207616;s_em_289p.wav;s_em_lc_289tw_12.wav;Stimuli/s_em_289p.wav;Stimuli/s_em_lc_289tw_12.wav;0,217685578
In der Schule lernen die Kinder;lesen;27;5;15;68;7;265;0,397058824;1,98044762;em_hc;317;317;em;s_em_317p.wav;s_em_hc_317tw;0,781152058;s_em_317p.wav;s_em_hc_317tw_6.wav;Stimuli/s_em_317p.wav;Stimuli/s_em_hc_317tw_6.wav;0,221263445
Ich trinke gerne ein Glas Wein zum;tee;1;11;12;68;8;214;0,014705882;1,422135119;em_lc;255;255;em;s_em_255p.wav;s_em_lc_255tw;0,965771392;s_em_255p.wav;s_em_lc_255tw_6.wav;Stimuli/s_em_255p.wav;Stimuli/s_em_lc_255tw_6.wav;0,232067784
Die Blumen auf dem Balkon brauchen dringend;kekse;0;3;3;68;8;152;0;0,208897898;el_mm;172;172;el;s_el_172p.wav;s_el_mm_172tw;0,725899402;s_el_172p.wav;s_el_mm_172tw_6.wav;Stimuli/s_el_172p.wav;Stimuli/s_el_mm_172tw_6.wav;0,235721789
Ich gehe zum Fahrradladen und hole eine;pumpe;34;8;13;63;8;209;0,53968254;1,525829171;em_hc;249;249;em;s_em_249p.wav;s_em_hc_249tw;0,519045471;s_em_249p.wav;s_em_hc_249tw_3.wav;Stimuli/s_em_249p.wav;Stimuli/s_em_hc_249tw_3.wav;0,23663106
Die Kellnerin serviert den Nachtisch auf dem;tablett;42;6;10;65;8;169;0,646153846;1,272459244;em_hc;195;195;em;s_em_195p.wav;s_em_hc_195tw;0,015160799;s_em_195p.wav;s_em_hc_195tw_12.wav;Stimuli/s_em_195p.wav;Stimuli/s_em_hc_195tw_12.wav;0,240561308
Auf einer Mission untersuchten die Astronauten die Oberfläche des;raumschiffs;2;7;7;67;10;36;0,029850746;1,027560443;em_lc;31;031;em;s_em_031p.wav;s_em_lc_031tw;0,594118985;s_em_031p.wav;s_em_lc_031tw_3.wav;Stimuli/s_em_031p.wav;Stimuli/s_em_lc_031tw_3.wav;0,243261901
Im Kasino verlor André sein ganzes;korn;0;2;4;76;7;12;0;0,576324579;el_mm;276;276;el;s_el_276p.wav;s_el_mm_276tw;0,237532723;s_el_276p.wav;s_el_mm_276tw_1.wav;Stimuli/s_el_276p.wav;Stimuli/s_el_mm_276tw_1.wav;0,243709478
In der Nachbarsstadt gibt es die größte Messe für;bücher;7;13;49;66;10;261;0,106060606;3,706383995;eh;315;315;eh;s_eh_315p.wav;s_eh_315tw;0,931293712;s_eh_315p.wav;s_eh_315tw_6.wav;Stimuli/s_eh_315p.wav;Stimuli/s_eh_315tw_6.wav;0,244841548
Ich schreibe einen langen Brief an meine;cousine;1;2;10;66;8;211;0,015151515;1,67368163;em_lc;251;251;em;s_em_251p.wav;s_em_lc_251tw;0,305190272;s_em_251p.wav;s_em_lc_251tw_12.wav;Stimuli/s_em_251p.wav;Stimuli/s_em_lc_251tw_12.wav;0,254861683
Ungeduldig schaut Toni auf ihre;kuh;0;5;5;76;6;22;0;0,374279343;el_mm;415;415;el;s_el_415p.wav;s_el_mm_415tw;0,005993606;s_el_415p.wav;s_el_mm_415tw_12.wav;Stimuli/s_el_415p.wav;Stimuli/s_el_mm_415tw_12.wav;0,269247822
Auf dem Bauernhof gibt es viele grunzende;schweine;72;4;5;76;8;2;0,947368421;0,279154912;el;13;013;el;s_el_013p.wav;s_el_013tw;0,3781672;s_el_013p.wav;s_el_013tw_1.wav;Stimuli/s_el_013p.wav;Stimuli/s_el_013tw_1.wav;0,270988204
Auf jedem Bild in dieser Galerie findet sich ein;hund;5;14;40;64;10;40;0,078125;3,501161616;eh;36;036;eh;s_eh_036p.wav;s_eh_036tw;0,958373526;s_eh_036p.wav;s_eh_036tw_6.wav;Stimuli/s_eh_036p.wav;Stimuli/s_eh_036tw_6.wav;0,272182316
Die alte Dame sitzt auf der Parkbank und füttert die;tauben;28;7;8;68;11;149;0,411764706;1,399570529;em_hc;164;164;em;s_em_164p.wav;s_em_hc_164tw;0,270080765;s_em_164p.wav;s_em_hc_164tw_1.wav;Stimuli/s_em_164p.wav;Stimuli/s_em_hc_164tw_1.wav;0,27575395
Am Abend verbrachte sie gern noch Zeit mit ihren;hasen;1;5;9;50;10;4;0,02;1,585504266;em_lc;4;004;em;s_em_004p.wav;s_em_lc_004tw;0,505231342;s_em_004p.wav;s_em_lc_004tw_1.wav;Stimuli/s_em_004p.wav;Stimuli/s_em_lc_004tw_1.wav;0,276751662
Nach einer Veranstaltung putzt die Reinigungsfirma den;stuhl;1;11;13;67;8;318;0,014925373;1,598486733;em_lc;379;379;em;s_em_379p.wav;s_em_lc_379tw;0,552279896;s_em_379p.wav;s_em_lc_379tw_3.wav;Stimuli/s_em_379p.wav;Stimuli/s_em_lc_379tw_3.wav;0,276957375
Auf dem Waschbecken liegt ein Stück;seife;63;4;5;67;7;25;0,940298507;0,30890922;el;20;020;el;s_el_020p.wav;s_el_020tw;0,650394411;s_el_020p.wav;s_el_020tw_3.wav;Stimuli/s_el_020p.wav;Stimuli/s_el_020tw_3.wav;0,27714527
Über den Stuhl hängt sie ihre;jacke;51;5;11;68;7;338;0,75;1,092155375;em_hc;410;410;em;s_em_410p.wav;s_em_hc_410tw;0,484162355;s_em_410p.wav;s_em_hc_410tw_3.wav;Stimuli/s_em_410p.wav;Stimuli/s_em_hc_410tw_3.wav;0,290623966
In dem Gruselkabinett gibt es viele;geister;27;4;14;66;7;247;0,409090909;1,9832707;em_hc;300;300;em;s_em_300p.wav;s_em_hc_300tw;0,442407423;s_em_300p.wav;s_em_hc_300tw_1.wav;Stimuli/s_em_300p.wav;Stimuli/s_em_hc_300tw_1.wav;0,301386817
Ihre Arbeit machte ihr ;Spaß;45;;2;52;5;23;0,865384615;0,395067121;el;263;263;el;s_el_263p.wav;s_el_263tw;0,236174466;s_el_263p.wav;s_el_263tw_1.wav;Stimuli/s_el_263p.wav;Stimuli/s_el_263tw_1.wav;0,304027977
Das Cappie schützt die Augen vor der;kreide;0;2;3;65;8;65;0;0,265785076;el_mm;64;064;el;s_el_064p.wav;s_el_mm_064tw;0,518414396;s_el_064p.wav;s_el_mm_064tw_3.wav;Stimuli/s_el_064p.wav;Stimuli/s_el_mm_064tw_3.wav;0,304054128
Liebe geht durch den;magen;66;2;3;68;5;288;0,970588235;0,153078103;el;346;346;el;s_el_346p.wav;s_el_346tw;0,042388457;s_el_346p.wav;s_el_346tw_12.wav;Stimuli/s_el_346p.wav;Stimuli/s_el_346tw_12.wav;0,305218021
Die lange steile Treppe führt zum;dachboden;17;8;29;66;7;174;0,257575758;2,864106075;eh;203;203;eh;s_eh_203p.wav;s_eh_203tw;0,190743719;s_eh_203p.wav;s_eh_203tw_12.wav;Stimuli/s_eh_203p.wav;Stimuli/s_eh_203tw_12.wav;0,316707675
Während einer Verfolgungsjagd floh der Verdächtige mit einem;auto;34;1;21;68;9;346;0,5;2,093346239;em_hc;424;424;em;s_em_424p.wav;s_em_hc_424tw;0,438226208;s_em_424p.wav;s_em_hc_424tw_1.wav;Stimuli/s_em_424p.wav;Stimuli/s_em_hc_424tw_1.wav;0,31710102
Beim Wandern finden sie auf dem Weg eine;schlange;9;31;37;67;9;63;0,134328358;3,317582105;eh;58;058;eh;s_eh_058p.wav;s_eh_058tw;0,186642817;s_eh_058p.wav;s_eh_058tw_12.wav;Stimuli/s_eh_058p.wav;Stimuli/s_eh_058tw_12.wav;0,337656409
Der Verdächtige fällt besonders auf durch seinen;bart;13;4;20;62;8;138;0,209677419;2,588731422;eh;147;147;eh;s_eh_147p.wav;s_eh_147tw;0,149614366;s_eh_147p.wav;s_eh_147tw_12.wav;Stimuli/s_eh_147p.wav;Stimuli/s_eh_147tw_12.wav;0,350763848
Bei Nacht spendet die Straßenlaterne helles;licht;68;1;1;68;7;53;1;0;el;48;048;el;s_el_048p.wav;s_el_048tw;0,809266629;s_el_048p.wav;s_el_048tw_6.wav;Stimuli/s_el_048p.wav;Stimuli/s_el_048tw_6.wav;0,357780142
Beim Kuchenbacken vergaß meine Mutter tatsächlich das;mehl;41;4;5;67;8;58;0,611940299;1,136943231;em_hc;52;052;em;s_em_052p.wav;s_em_hc_052tw;0,217914875;s_em_052p.wav;s_em_hc_052tw_1.wav;Stimuli/s_em_052p.wav;Stimuli/s_em_hc_052tw_1.wav;0,358002185
Berlin ist eine laute;Stadt;44;;1;44;5;3;1;0;el;59;059;el;s_el_059p.wav;s_el_059tw;0,381432987;s_el_059p.wav;s_el_059tw_1.wav;Stimuli/s_el_059p.wav;Stimuli/s_el_059tw_1.wav;0,360713935
Heimlich stahl das kleine Mädchen aus der Handtasche der Mutter eine;münze;21;18;32;68;12;204;0,308823529;2,797303444;eh;242;242;eh;s_eh_242p.wav;s_eh_242tw;0,8066622;s_eh_242p.wav;s_eh_242tw_3.wav;Stimuli/s_eh_242p.wav;Stimuli/s_eh_242tw_3.wav;0,363814295
Die Feuerwehrleute retten die Menschen aus einem brennenden;busch;0;5;6;67;9;156;0;0,569574945;el_mm;181;181;el;s_el_181p.wav;s_el_mm_181tw;0,11287395;s_el_181p.wav;s_el_mm_181tw_12.wav;Stimuli/s_el_181p.wav;Stimuli/s_el_mm_181tw_12.wav;0,363995395
Die Spaziergänger verirrten sich im;klo;0;8;8;68;6;182;0;0,67464194;el_mm;211;211;el;s_el_211p.wav;s_el_mm_211tw;0,750335447;s_el_211p.wav;s_el_mm_211tw_6.wav;Stimuli/s_el_211p.wav;Stimuli/s_el_mm_211tw_6.wav;0,365361208
Zur Bekräftigung des Friedens rauchten die Indianer eine;Feige;0;;2;44;9;37;0;0,474139313;el_mm;439;439;el;s_el_439p.wav;s_el_mm_439tw;0,253065846;s_el_439p.wav;s_el_mm_439tw_1.wav;Stimuli/s_el_439p.wav;Stimuli/s_el_mm_439tw_1.wav;0,367993289
Die DDR baute 1961 in Berlin die;Fabrik;0;;1;44;8;14;0;0;el_mm;174;174;el;s_el_174p.wav;s_el_mm_174tw;0,368285308;s_el_174p.wav;s_el_mm_174tw_1.wav;Stimuli/s_el_174p.wav;Stimuli/s_el_mm_174tw_1.wav;0,370223216
Ich suche meine Schlüssel in der;tasche;39;9;10;66;7;213;0,590909091;1,436287342;em_hc;253;253;em;s_em_253p.wav;s_em_hc_253tw;0,458770987;s_em_253p.wav;s_em_hc_253tw_3.wav;Stimuli/s_em_253p.wav;Stimuli/s_em_hc_253tw_3.wav;0,371734005
An Weihnachten schmückte die ganze Familie den Baum mit;kugeln;39;7;13;65;10;16;0,6;1,453515469;em_hc;11;011;em;s_em_011p.wav;s_em_hc_011tw;0,139336561;s_em_011p.wav;s_em_hc_011tw_12.wav;Stimuli/s_em_011p.wav;Stimuli/s_em_hc_011tw_12.wav;0,372284453
Die Bewohner bemerkten den Einbruch erst am nächsten ;Wall;0;;2;44;9;13;0;0,641636632;el_mm;170;170;el;s_el_170p.wav;s_el_mm_170tw;0,696446745;s_el_170p.wav;s_el_mm_170tw_6.wav;Stimuli/s_el_170p.wav;Stimuli/s_el_mm_170tw_6.wav;0,37246407
Der Park in der Nähe hat einen großen;see;28;7;9;67;9;126;0,417910448;1,562915662;em_hc;130;130;em;s_em_130p.wav;s_em_hc_130tw;0,161592418;s_em_130p.wav;s_em_hc_130tw_12.wav;Stimuli/s_em_130p.wav;Stimuli/s_em_hc_130tw_12.wav;0,372996984
Das Haus am Ende der Straße hat neue;fenster;35;4;14;60;9;71;0,583333333;1,631634333;em_hc;72;072;em;s_em_072p.wav;s_em_hc_072tw;0,545702255;s_em_072p.wav;s_em_hc_072tw_3.wav;Stimuli/s_em_072p.wav;Stimuli/s_em_hc_072tw_3.wav;0,373465474
Über das Feld rennt ein;soldat;1;14;16;68;6;337;0,014705882;1,879718879;em_lc;408;408;em;s_em_408p.wav;s_em_lc_408tw;0,660013386;s_em_408p.wav;s_em_lc_408tw_3.wav;Stimuli/s_em_408p.wav;Stimuli/s_em_lc_408tw_3.wav;0,376126296
Auf dem Zeltboden krabbelt eine;wanze;2;5;5;67;6;27;0,029850746;0,882515438;em_lc;23;023;em;s_em_023p.wav;s_em_lc_023tw;0,661228383;s_em_023p.wav;s_em_lc_023tw_3.wav;Stimuli/s_em_023p.wav;Stimuli/s_em_lc_023tw_3.wav;0,380501627
Die alte Straßenbahn rattert auf den;schienen;45;4;5;68;7;150;0,661764706;0,857295249;em_hc;166;166;em;s_em_166p.wav;s_em_hc_166tw;0,202582004;s_em_166p.wav;s_em_hc_166tw_12.wav;Stimuli/s_em_166p.wav;Stimuli/s_em_hc_166tw_12.wav;0,393632057
Der Apfelkuchen war von ausgezeichnetem ;Geschmack ;37;;5;41;6;4;0,902439024;0,454938828;el;86;086;el;s_el_086p.wav;s_el_086tw;0,245719849;s_el_086p.wav;s_el_086tw_1.wav;Stimuli/s_el_086p.wav;Stimuli/s_el_086tw_1.wav;0,403555476
Nach dem Essen spülten sie das ;Geschirr;44;;1;44;7;29;1;0;el;365;365;el;s_el_365p.wav;s_el_365tw;0,164377185;s_el_365p.wav;s_el_365tw_12.wav;Stimuli/s_el_365p.wav;Stimuli/s_el_365tw_12.wav;0,40466114
Der junge Mann trägt die Last auf seinen;nägeln;0;2;2;66;9;113;0;0,228631874;el_mm;120;120;el;s_el_120p.wav;s_el_mm_120tw;0,802588727;s_el_120p.wav;s_el_mm_120tw_6.wav;Stimuli/s_el_120p.wav;Stimuli/s_el_mm_120tw_6.wav;0,406179655
Der Arzt bemühte sich sehr um seinen ;Schnellkochtopf;0;;3;47;8;5;0;0,20547075;el_mm;88;088;el;s_el_088p.wav;s_el_mm_088tw;0,440421907;s_el_088p.wav;s_el_mm_088tw_1.wav;Stimuli/s_el_088p.wav;Stimuli/s_el_mm_088tw_1.wav;0,406457862
Wir treffen uns heute Nachmittag im;foyer;1;4;12;68;7;352;0,014705882;1,773827067;em_lc;429;429;em;s_em_429p.wav;s_em_lc_429tw;0,420344955;s_em_429p.wav;s_em_lc_429tw_1.wav;Stimuli/s_em_429p.wav;Stimuli/s_em_lc_429tw_1.wav;0,412361061
Öffne die Tür nur einen ;Meter;0;;2;45;6;31;0;0,106565959;el_mm;387;387;el;s_el_387p.wav;s_el_mm_387tw;0,615522246;s_el_387p.wav;s_el_mm_387tw_3.wav;Stimuli/s_el_387p.wav;Stimuli/s_el_mm_387tw_3.wav;0,424255446
