Sentence;Target_word;WordPredictions;wn;nwords;nprt;nw;sn;cloze;entropy;condition;sn_rand;sn_0;Prior;Sentences;Target_word;randomization;Web_Audio;Single_Word;sentence;word;randomize_1
Ungeduldig schaut Toni auf ihre;kuh;0;5;5;76;6;22;0;0,374279343;el_mm;415;415;el;s_el_415p.wav;s_el_mm_415tw;0,005993606;s_el_415p.wav;s_el_mm_415tw_1.wav;Stimuli/s_el_415p.wav;Stimuli/s_el_mm_415tw_1.wav;0,053567087
Zur Bekr�ftigung des Friedens rauchten die Indianer eine;Feige;0;;2;44;9;37;0;0,474139313;el_mm;439;439;el;s_el_439p.wav;s_el_mm_439tw;0,253065846;s_el_439p.wav;s_el_mm_439tw_3.wav;Stimuli/s_el_439p.wav;Stimuli/s_el_mm_439tw_3.wav;0,069184495
Auf einer Mission untersuchten die Astronauten die Oberfl�che des;raumschiffs;2;7;7;67;10;36;0,029850746;1,027560443;em_lc;31;031;em;s_em_031p.wav;s_em_lc_031tw;0,594118985;s_em_031p.wav;s_em_lc_031tw_6.wav;Stimuli/s_em_031p.wav;Stimuli/s_em_lc_031tw_6.wav;0,07196068
Im Streichelzoo gibt es freche;igel;1;5;11;65;6;238;0,015384615;1,435100284;em_lc;285;285;em;s_em_285p.wav;s_em_lc_285tw;0,683430947;s_em_285p.wav;s_em_lc_285tw_6.wav;Stimuli/s_em_285p.wav;Stimuli/s_em_lc_285tw_6.wav;0,076567046
Zum Angeln spie�te sie den Wurm auf den;haken;64;3;6;76;9;25;0,842105263;0,643695037;el;437;437;el;s_el_437p.wav;s_el_437tw;0,682030314;s_el_437p.wav;s_el_437tw_6.wav;Stimuli/s_el_437p.wav;Stimuli/s_el_437tw_6.wav;0,08838812
Die Forscherin entdeckt eine neue Pflanzenart im;dschungel;16;7;21;66;8;157;0,242424242;2,51322942;eh;183;183;eh;s_eh_183p.wav;s_eh_183tw;0,048508615;s_eh_183p.wav;s_eh_183tw_1.wav;Stimuli/s_eh_183p.wav;Stimuli/s_eh_183tw_1.wav;0,088422889
Der fr�he Vogel f�ngt den;luchs;0;1;1;66;6;100;0;0;el_mm;109;109;el;s_el_109p.wav;s_el_mm_109tw;0,197543144;s_el_109p.wav;s_el_mm_109tw_1.wav;Stimuli/s_el_109p.wav;Stimuli/s_el_mm_109tw_1.wav;0,092072333
Der Fahrer f�hrt die Staatsg�ste sicher durch die;nacht;1;11;16;68;9;95;0,014705882;1,543851091;em_lc;100;100;em;s_em_100p.wav;s_em_lc_100tw;0,177752056;s_em_100p.wav;s_em_lc_100tw_1.wav;Stimuli/s_em_100p.wav;Stimuli/s_em_lc_100tw_1.wav;0,102730509
Der Plan hat Hand und ;Fu� ;46;;1;46;6;8;1;0;el;133;133;el;s_el_133p.wav;s_el_133tw;0,014170725;s_el_133p.wav;s_el_133tw_1.wav;Stimuli/s_el_133p.wav;Stimuli/s_el_133tw_1.wav;0,107170134
Nach der Gartenarbeit wusch sie sich gr�ndlich die;achseln;0;2;2;76;9;17;0;0,121692403;el_mm;370;370;el;s_el_370p.wav;s_el_mm_370tw;0,199469626;s_el_370p.wav;s_el_mm_370tw_1.wav;Stimuli/s_el_370p.wav;Stimuli/s_el_mm_370tw_1.wav;0,107405926
Der Zauberer verriet dem Publikum seinen ;weg;0;;4;47;7;11;0;0,20547075;el_mm;160;160;el;s_el_160p.wav;s_el_mm_160tw;0,443712154;s_el_160p.wav;s_el_mm_160tw_3.wav;Stimuli/s_el_160p.wav;Stimuli/s_el_mm_160tw_3.wav;0,113137576
Der Fernseher im Wohnzimmer hat einen gro�en;sprung;1;12;12;67;8;96;0,014925373;1,071012154;em_lc;102;102;em;s_em_102p.wav;s_em_lc_102tw;0,436184839;s_em_102p.wav;s_em_lc_102tw_3.wav;Stimuli/s_em_102p.wav;Stimuli/s_em_lc_102tw_3.wav;0,114981805
Der Skilift schaukelte bedenklich im;wind;64;7;7;76;6;7;0,842105263;0,668820597;el;140;140;el;s_el_140p.wav;s_el_140tw;0,60270142;s_el_140p.wav;s_el_140tw_6.wav;Stimuli/s_el_140p.wav;Stimuli/s_el_140tw_6.wav;0,119139877
Sie kam mit den Beinen kaum bis auf den ;Kessel;0;;4;45;10;35;0;0,392379177;el_mm;396;396;el;s_el_396p.wav;s_el_mm_396tw;0,419583584;s_el_396p.wav;s_el_mm_396tw_3.wav;Stimuli/s_el_396p.wav;Stimuli/s_el_mm_396tw_3.wav;0,125556579
Im Zoo f�ttern die Tierpfleger die hungrigen;l�wen;30;7;14;68;8;244;0,441176471;1,825659958;em_hc;293;293;em;s_em_293p.wav;s_em_hc_293tw;0,718783214;s_em_293p.wav;s_em_hc_293tw_6.wav;Stimuli/s_em_293p.wav;Stimuli/s_em_hc_293tw_6.wav;0,129287925
Die Kellnerin serviert den Nachtisch auf dem;tablett;42;6;10;65;8;169;0,646153846;1,272459244;em_hc;195;195;em;s_em_195p.wav;s_em_hc_195tw;0,015160799;s_em_195p.wav;s_em_hc_195tw_1.wav;Stimuli/s_em_195p.wav;Stimuli/s_em_hc_195tw_1.wav;0,131662953
Im Sandkasten spielen die Kinder mit Schaufel und;gabel;1;5;10;68;9;236;0,014705882;1,334344617;em_lc;283;283;em;s_em_283p.wav;s_em_lc_283tw;0,260781385;s_em_283p.wav;s_em_lc_283tw_1.wav;Stimuli/s_em_283p.wav;Stimuli/s_em_lc_283tw_1.wav;0,133216548
Die Kaffeetasse auf dem Tisch hat ein Muster mit;blumen;25;2;26;68;10;167;0,367647059;2,605279363;eh;192;192;eh;s_eh_192p.wav;s_eh_192tw;0,854881305;s_eh_192p.wav;s_eh_192tw_6.wav;Stimuli/s_eh_192p.wav;Stimuli/s_eh_192tw_6.wav;0,139815399
Wir planen am Wochenende einen;umtrunk;1;9;10;65;6;351;0,015384615;0,944285867;em_lc;427;427;em;s_em_427p.wav;s_em_lc_427tw;0,500218223;s_em_427p.wav;s_em_lc_427tw_3.wav;Stimuli/s_em_427p.wav;Stimuli/s_em_lc_427tw_3.wav;0,148995256
Ich suche meine Schl�ssel in der;tasche;39;9;10;66;7;213;0,590909091;1,436287342;em_hc;253;253;em;s_em_253p.wav;s_em_hc_253tw;0,458770987;s_em_253p.wav;s_em_hc_253tw_6.wav;Stimuli/s_em_253p.wav;Stimuli/s_em_hc_253tw_6.wav;0,160681216
Trotz der Turbulenzen bringt der Pilot das Flugzeug sicher nach;hause;30;6;15;66;11;336;0,454545455;1,625007325;em_hc;406;406;em;s_em_406p.wav;s_em_hc_406tw;0,257449454;s_em_406p.wav;s_em_hc_406tw_3.wav;Stimuli/s_em_406p.wav;Stimuli/s_em_hc_406tw_3.wav;0,168585353
Aus dem Fenster sieht man in der Ferne die hohen;masten;1;6;9;64;11;41;0,015625;1,229807722;em_lc;37;037;em;s_em_037p.wav;s_em_lc_037tw;0,14822962;s_em_037p.wav;s_em_lc_037tw_1.wav;Stimuli/s_em_037p.wav;Stimuli/s_em_lc_037tw_1.wav;0,170847906
Beim Kochen schnitt sich Onur in den;finger;61;3;5;68;8;57;0,897058824;0,462957162;el;50;050;el;s_el_050p.wav;s_el_050tw;0,984446119;s_el_050p.wav;s_el_050tw_12.wav;Stimuli/s_el_050p.wav;Stimuli/s_el_050tw_12.wav;0,172023477
In einer Seeschlacht erbeuteten die Piraten viele;sch�tze;36;16;22;68;8;272;0,529411765;2,045913173;em_hc;323;323;em;s_em_323p.wav;s_em_hc_323tw;0,776275657;s_em_323p.wav;s_em_hc_323tw_12.wav;Stimuli/s_em_323p.wav;Stimuli/s_em_hc_323tw_12.wav;0,182496144
Kurz vor der Ziellinie fiel der Reiter von seinem;strau�;0;1;3;66;10;287;0;0,213839861;el_mm;342;342;el;s_el_342p.wav;s_el_mm_342tw;0,359352091;s_el_342p.wav;s_el_mm_342tw_3.wav;Stimuli/s_el_342p.wav;Stimuli/s_el_mm_342tw_3.wav;0,205273356
Auf dem Oktoberfest trinken die Menschen viel;bier;64;2;2;66;8;21;0,96969697;0,135793959;el;17;017;el;s_el_017p.wav;s_el_017tw;0,94657713;s_el_017p.wav;s_el_017tw_12.wav;Stimuli/s_el_017p.wav;Stimuli/s_el_017tw_12.wav;0,216032159
Meine Pommes esse ich am liebsten mit Ketchup und;salat;0;1;1;76;10;16;0;0;el_mm;352;352;el;s_el_352p.wav;s_el_mm_352tw;0,496238641;s_el_352p.wav;s_el_mm_352tw_6.wav;Stimuli/s_el_352p.wav;Stimuli/s_el_mm_352tw_6.wav;0,219075713
Mit voller Wucht traf die Abrissbirne das;regal;1;7;7;67;8;303;0,014925373;1,028217955;em_lc;359;359;em;s_em_359p.wav;s_em_lc_359tw;0,804572589;s_em_359p.wav;s_em_lc_359tw_12.wav;Stimuli/s_em_359p.wav;Stimuli/s_em_lc_359tw_12.wav;0,220314876
An Weihnachten schm�ckte die ganze Familie den Baum mit;kugeln;39;7;13;65;10;16;0,6;1,453515469;em_hc;11;011;em;s_em_011p.wav;s_em_hc_011tw;0,139336561;s_em_011p.wav;s_em_hc_011tw_1.wav;Stimuli/s_em_011p.wav;Stimuli/s_em_hc_011tw_1.wav;0,222118152
Der Schaffner wurde misstrauisch wegen des;tickets;23;23;26;66;7;130;0,348484848;2,63898404;eh;136;136;eh;s_eh_136p.wav;s_eh_136tw;0,877181695;s_eh_136p.wav;s_eh_136tw_12.wav;Stimuli/s_eh_136p.wav;Stimuli/s_eh_136tw_12.wav;0,235032143
Die Hose war zu eng zum;sitzen;16;16;20;66;7;162;0,242424242;2,551013678;eh;185;185;eh;s_eh_185p.wav;s_eh_185tw;0,448456939;s_eh_185p.wav;s_eh_185tw_3.wav;Stimuli/s_eh_185p.wav;Stimuli/s_eh_185tw_3.wav;0,256008111
Ihre Arbeit machte ihr ;Spa�;45;;2;52;5;23;0,865384615;0,395067121;el;263;263;el;s_el_263p.wav;s_el_263tw;0,236174466;s_el_263p.wav;s_el_263tw_3.wav;Stimuli/s_el_263p.wav;Stimuli/s_el_263tw_3.wav;0,265444226
In den Bergen �bernachten die G�ste in einer gem�tlichen;h�tte;50;3;9;66;10;250;0,757575758;1,01595635;em_hc;304;304;em;s_em_304p.wav;s_em_hc_304tw;0,741517482;s_em_304p.wav;s_em_hc_304tw_6.wav;Stimuli/s_em_304p.wav;Stimuli/s_em_hc_304tw_6.wav;0,26576894
Die italienische Mafia handelt vor allem mit;k�pfchen;1;6;11;68;8;163;0,014705882;1,133246777;em_lc;186;186;em;s_em_186p.wav;s_em_lc_186tw;0,886162625;s_em_186p.wav;s_em_lc_186tw_12.wav;Stimuli/s_em_186p.wav;Stimuli/s_em_lc_186tw_12.wav;0,268508493
Der Baum im Herbst hat bunte;schleifen;0;1;1;66;7;89;0;0;el_mm;91;091;el;s_el_091p.wav;s_el_mm_091tw;0,203295137;s_el_091p.wav;s_el_mm_091tw_1.wav;Stimuli/s_el_091p.wav;Stimuli/s_el_mm_091tw_1.wav;0,270401055
Die lange steile Treppe f�hrt zum;dachboden;17;8;29;66;7;174;0,257575758;2,864106075;eh;203;203;eh;s_eh_203p.wav;s_eh_203tw;0,190743719;s_eh_203p.wav;s_eh_203tw_1.wav;Stimuli/s_eh_203p.wav;Stimuli/s_eh_203tw_1.wav;0,272909746
Das Cappie sch�tzt die Augen vor der;kreide;0;2;3;65;8;65;0;0,265785076;el_mm;64;064;el;s_el_064p.wav;s_el_mm_064tw;0,518414396;s_el_064p.wav;s_el_mm_064tw_6.wav;Stimuli/s_el_064p.wav;Stimuli/s_el_mm_064tw_6.wav;0,276071725
Im Aquarium gibt es neben Fischen auch;pflanzen;11;12;24;65;8;220;0,169230769;2,792576662;eh;267;267;eh;s_eh_267p.wav;s_eh_267tw;0,400719457;s_eh_267p.wav;s_eh_267tw_3.wav;Stimuli/s_eh_267p.wav;Stimuli/s_eh_267tw_3.wav;0,277505435
Aus der Mine hoben die Bergarbeiter wertvolles;kupfer;1;9;13;65;8;46;0,015384615;1,635823904;em_lc;43;043;em;s_em_043p.wav;s_em_lc_043tw;0,749275633;s_em_043p.wav;s_em_lc_043tw_12.wav;Stimuli/s_em_043p.wav;Stimuli/s_em_lc_043tw_12.wav;0,277861178
Im Kindergarten bekamen die meisten Kinder in dieser Woche;l�use;5;20;38;67;10;229;0,074626866;3,440694712;eh;278;278;eh;s_eh_278p.wav;s_eh_278tw;0,177202132;s_eh_278p.wav;s_eh_278tw_1.wav;Stimuli/s_eh_278p.wav;Stimuli/s_eh_278tw_1.wav;0,281077019
�ber den Stuhl h�ngt sie ihre;jacke;51;5;11;68;7;338;0,75;1,092155375;em_hc;410;410;em;s_em_410p.wav;s_em_hc_410tw;0,484162355;s_em_410p.wav;s_em_hc_410tw_6.wav;Stimuli/s_em_410p.wav;Stimuli/s_em_hc_410tw_6.wav;0,286298226
Seit einer Stunde sitze ich im Wartezimmer beim;papst;0;1;7;67;9;325;0;0,60691841;el_mm;394;394;el;s_el_394p.wav;s_el_mm_394tw;0,639338085;s_el_394p.wav;s_el_mm_394tw_6.wav;Stimuli/s_el_394p.wav;Stimuli/s_el_mm_394tw_6.wav;0,286953968
Beim Kuchenbacken verga� meine Mutter tats�chlich das;mehl;41;4;5;67;8;58;0,611940299;1,136943231;em_hc;52;052;em;s_em_052p.wav;s_em_hc_052tw;0,217914875;s_em_052p.wav;s_em_hc_052tw_3.wav;Stimuli/s_em_052p.wav;Stimuli/s_em_hc_052tw_3.wav;0,29226145
Der Rapper singt �ber sein Leben auf der Stra�e und seine;liebe;10;18;26;68;12;128;0,147058824;2,898879077;eh;135;135;eh;s_eh_135p.wav;s_eh_135tw;0,317861797;s_eh_135p.wav;s_eh_135tw_3.wav;Stimuli/s_eh_135p.wav;Stimuli/s_eh_135tw_3.wav;0,312783944
Die Enten schwammen auf dem ;Teich ;24;;2;44;6;15;0,545454545;0,689009238;el;179;179;el;s_el_179p.wav;s_el_179tw;0,236623657;s_el_179p.wav;s_el_179tw_3.wav;Stimuli/s_el_179p.wav;Stimuli/s_el_179tw_3.wav;0,31383326
In dem Lexikon suchte Andrea nach einem Eintrag �ber;elefanten;3;16;54;68;10;249;0,044117647;3,903314858;eh;303;303;eh;s_eh_303p.wav;s_eh_303tw;0,155393413;s_eh_303p.wav;s_eh_303tw_1.wav;Stimuli/s_eh_303p.wav;Stimuli/s_eh_303tw_1.wav;0,321745792
�ffne die T�r nur einen ;Meter;0;;2;45;6;31;0;0,106565959;el_mm;387;387;el;s_el_387p.wav;s_el_mm_387tw;0,615522246;s_el_387p.wav;s_el_mm_387tw_6.wav;Stimuli/s_el_387p.wav;Stimuli/s_el_mm_387tw_6.wav;0,328812644
Die Menschen auf der Stra�e bestaunen den;k�nstler;8;15;39;66;8;177;0,121212121;3,451719095;eh;206;206;eh;s_eh_206p.wav;s_eh_206tw;0,855729106;s_eh_206p.wav;s_eh_206tw_12.wav;Stimuli/s_eh_206p.wav;Stimuli/s_eh_206tw_12.wav;0,334802305
Im Supermarkt kaufen wir eine Flasche;�l;1;6;15;66;8;240;0,015151515;1,840455;em_lc;289;289;em;s_em_289p.wav;s_em_lc_289tw;0,392207616;s_em_289p.wav;s_em_lc_289tw_1.wav;Stimuli/s_em_289p.wav;Stimuli/s_em_lc_289tw_1.wav;0,338947097
Er sah Licht am Ende des;Tunnels;42;;5;47;7;18;0,893617021;0,480606786;el;224;224;el;s_el_224p.wav;s_el_224tw;0,170124211;s_el_224p.wav;s_el_224tw_1.wav;Stimuli/s_el_224p.wav;Stimuli/s_el_224tw_1.wav;0,3403078
Die Hauptfigur in dem Kinderbuch war ein;b�r;7;1;34;64;8;160;0,109375;3,263800437;eh;184;184;eh;s_eh_184p.wav;s_eh_184tw;0,901451832;s_eh_184p.wav;s_eh_184tw_12.wav;Stimuli/s_eh_184p.wav;Stimuli/s_eh_184tw_12.wav;0,347012379
Rauchen gef�hrdert die ;Vorh�nge;0;;3;53;4;33;0;0,186837059;el_mm;389;389;el;s_el_389p.wav;s_el_mm_389tw;0,665636497;s_el_389p.wav;s_el_mm_389tw_12.wav;Stimuli/s_el_389p.wav;Stimuli/s_el_mm_389tw_12.wav;0,358677231
Die Blumen auf dem Balkon brauchen dringend;kekse;0;3;3;68;8;152;0;0,208897898;el_mm;172;172;el;s_el_172p.wav;s_el_mm_172tw;0,725899402;s_el_172p.wav;s_el_mm_172tw_12.wav;Stimuli/s_el_172p.wav;Stimuli/s_el_mm_172tw_12.wav;0,364733992
Der Tod seines Hundes erf�llte ihn mit gro�er ;Trauer;41;;3;43;9;9;0,953488372;0,220352331;el;145;145;el;s_el_145p.wav;s_el_145tw;0,137389814;s_el_145p.wav;s_el_145tw_1.wav;Stimuli/s_el_145p.wav;Stimuli/s_el_145tw_1.wav;0,368639822
Die Kinder spielen mit einem Ball im;dreieck;1;2;18;68;8;170;0,014705882;2,003541274;em_lc;197;197;em;s_em_197p.wav;s_em_lc_197tw;0,845667602;s_em_197p.wav;s_em_lc_197tw_12.wav;Stimuli/s_em_197p.wav;Stimuli/s_em_lc_197tw_12.wav;0,375755861
Das Haus am Ende der Stra�e hat neue;fenster;35;4;14;60;9;71;0,583333333;1,631634333;em_hc;72;072;em;s_em_072p.wav;s_em_hc_072tw;0,545702255;s_em_072p.wav;s_em_hc_072tw_6.wav;Stimuli/s_em_072p.wav;Stimuli/s_em_hc_072tw_6.wav;0,377221615
Auf dem Waschbecken liegt ein St�ck;seife;63;4;5;67;7;25;0,940298507;0,30890922;el;20;020;el;s_el_020p.wav;s_el_020tw;0,650394411;s_el_020p.wav;s_el_020tw_6.wav;Stimuli/s_el_020p.wav;Stimuli/s_el_020tw_6.wav;0,379305419
Liebe geht durch den;magen;66;2;3;68;5;288;0,970588235;0,153078103;el;346;346;el;s_el_346p.wav;s_el_346tw;0,042388457;s_el_346p.wav;s_el_346tw_1.wav;Stimuli/s_el_346p.wav;Stimuli/s_el_346tw_1.wav;0,381306402
�ber Nacht liegt das Kreuzfahrtschiff sicher im;hafen;76;1;1;76;8;21;1;0;el;412;412;el;s_el_412p.wav;s_el_412tw;0,727915007;s_el_412p.wav;s_el_412tw_12.wav;Stimuli/s_el_412p.wav;Stimuli/s_el_412tw_12.wav;0,382082121
Marie b�ckte sich und sah einen;k�fer;21;15;35;68;7;291;0,308823529;2,970789519;eh;349;349;eh;s_eh_349p.wav;s_eh_349tw;0,799798246;s_eh_349p.wav;s_eh_349tw_6.wav;Stimuli/s_eh_349p.wav;Stimuli/s_eh_349tw_6.wav;0,384110385
Nach einer Veranstaltung putzt die Reinigungsfirma den;stuhl;1;11;13;67;8;318;0,014925373;1,598486733;em_lc;379;379;em;s_em_379p.wav;s_em_lc_379tw;0,552279896;s_em_379p.wav;s_em_lc_379tw_6.wav;Stimuli/s_em_379p.wav;Stimuli/s_em_lc_379tw_6.wav;0,392314973
Der Italiener von nebenan serviert die beste;wurst;1;6;6;65;8;111;0,015384615;0,875147251;em_lc;117;117;em;s_em_117p.wav;s_em_lc_117tw;0,770463671;s_em_117p.wav;s_em_lc_117tw_12.wav;Stimuli/s_em_117p.wav;Stimuli/s_em_lc_117tw_12.wav;0,395614104
Im Kofferraum versteckte der Ganove die;beute;21;1;11;66;7;231;0,318181818;1,898842827;em_hc;279;279;em;s_em_279p.wav;s_em_hc_279tw;0,249400722;s_em_279p.wav;s_em_hc_279tw_3.wav;Stimuli/s_em_279p.wav;Stimuli/s_em_hc_279tw_3.wav;0,410863017
Ingrid liest bei Romanen immer zuerst die letzte;seite;73;1;2;75;9;15;0,973333333;0,122956999;el;334;334;el;s_el_334p.wav;s_el_334tw;0,418851877;s_el_334p.wav;s_el_334tw_3.wav;Stimuli/s_el_334p.wav;Stimuli/s_el_334tw_3.wav;0,411778631
Die alte Stra�enbahn rattert auf den;schienen;45;4;5;68;7;150;0,661764706;0,857295249;em_hc;166;166;em;s_em_166p.wav;s_em_hc_166tw;0,202582004;s_em_166p.wav;s_em_hc_166tw_1.wav;Stimuli/s_em_166p.wav;Stimuli/s_em_hc_166tw_1.wav;0,413122684
Der Wissenschaftler forscht an einem neuen Medikament gegen;krebs;40;8;11;67;9;146;0,597014925;1,415487196;em_hc;158;158;em;s_em_158p.wav;s_em_hc_158tw;0,100430807;s_em_158p.wav;s_em_hc_158tw_1.wav;Stimuli/s_em_158p.wav;Stimuli/s_em_hc_158tw_1.wav;0,415975613
Die Unfallursache war wie h�ufig eine zu hohe ;Leitf�higkeit;0;;2;52;9;16;0;0,095030117;el_mm;215;215;el;s_el_215p.wav;s_el_mm_215tw;0,900381685;s_el_215p.wav;s_el_mm_215tw_12.wav;Stimuli/s_el_215p.wav;Stimuli/s_el_mm_215tw_12.wav;0,418455847
Die Polizistin verhaftete den Verd�chtigen auf der;parkbank;1;5;10;67;8;179;0,014925373;1,203621626;em_lc;207;207;em;s_em_207p.wav;s_em_lc_207tw;0,585745049;s_em_207p.wav;s_em_lc_207tw_6.wav;Stimuli/s_em_207p.wav;Stimuli/s_em_lc_207tw_6.wav;0,427024366
Der Investmentb�nker verliert sein ganzes Geld an der;b�rse;64;1;3;67;9;110;0,955223881;0,211337221;el;115;115;el;s_el_115p.wav;s_el_115tw;0,890097121;s_el_115p.wav;s_el_115tw_12.wav;Stimuli/s_el_115p.wav;Stimuli/s_el_115tw_12.wav;0,433941197
Nach dem Essen sp�lten sie das ;Geschirr;44;;1;44;7;29;1;0;el;365;365;el;s_el_365p.wav;s_el_365tw;0,164377185;s_el_365p.wav;s_el_365tw_1.wav;Stimuli/s_el_365p.wav;Stimuli/s_el_365tw_1.wav;0,437958843
Es gibt kein schlechtes Wetter, nur schlechte;kleidung;55;3;7;76;8;9;0,723684211;0,908066018;em_hc;229;229;em;s_em_229p.wav;s_em_hc_229tw;0,794023114;s_em_229p.wav;s_em_hc_229tw_12.wav;Stimuli/s_em_229p.wav;Stimuli/s_em_hc_229tw_12.wav;0,438802932
Im Weltall h�rt man keine;motoren;1;5;17;66;6;242;0,015151515;1,949497901;em_lc;291;291;em;s_em_291p.wav;s_em_lc_291tw;0,582855472;s_em_291p.wav;s_em_lc_291tw_6.wav;Stimuli/s_em_291p.wav;Stimuli/s_em_lc_291tw_6.wav;0,44503587
Auf dem Bauernhof gibt es viele grunzende;schweine;72;4;5;76;8;2;0,947368421;0,279154912;el;13;013;el;s_el_013p.wav;s_el_013tw;0,3781672;s_el_013p.wav;s_el_013tw_3.wav;Stimuli/s_el_013p.wav;Stimuli/s_el_013tw_3.wav;0,445512211
In dem Gruselkabinett gibt es viele;geister;27;4;14;66;7;247;0,409090909;1,9832707;em_hc;300;300;em;s_em_300p.wav;s_em_hc_300tw;0,442407423;s_em_300p.wav;s_em_hc_300tw_3.wav;Stimuli/s_em_300p.wav;Stimuli/s_em_hc_300tw_3.wav;0,448634247
In der Nachbarsstadt gibt es die gr��te Messe f�r;b�cher;7;13;49;66;10;261;0,106060606;3,706383995;eh;315;315;eh;s_eh_315p.wav;s_eh_315tw;0,931293712;s_eh_315p.wav;s_eh_315tw_12.wav;Stimuli/s_eh_315p.wav;Stimuli/s_eh_315tw_12.wav;0,452866061
Als Kind liebte sie das M�rchen von H�nsel und;nemo;0;1;1;66;10;2;0;0;el_mm;1;001;el;s_el_001p.wav;s_el_mm_001tw;0,547317068;s_el_001p.wav;s_el_mm_001tw_6.wav;Stimuli/s_el_001p.wav;Stimuli/s_el_mm_001tw_6.wav;0,456890031
Der Bieber baut seinen Damm aus vielen;�sten;31;1;10;67;8;90;0,462686567;1,675670624;em_hc;93;093;em;s_em_093p.wav;s_em_hc_093tw;0,661985526;s_em_093p.wav;s_em_hc_093tw_6.wav;Stimuli/s_em_093p.wav;Stimuli/s_em_hc_093tw_6.wav;0,457588906
F�r die Vorratshaltung am besten geeignet sind Konserven mit;deckel;9;3;30;68;10;196;0,132352941;2,999887306;eh;234;234;eh;s_eh_234p.wav;s_eh_234tw;0,512060237;s_eh_234p.wav;s_eh_234tw_3.wav;Stimuli/s_eh_234p.wav;Stimuli/s_eh_234tw_3.wav;0,459261093
Die Feuerwehrleute retten die Menschen aus einem brennenden;busch;0;5;6;67;9;156;0;0,569574945;el_mm;181;181;el;s_el_181p.wav;s_el_mm_181tw;0,11287395;s_el_181p.wav;s_el_mm_181tw_1.wav;Stimuli/s_el_181p.wav;Stimuli/s_el_mm_181tw_1.wav;0,462172585
