Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_Word,sentence,word,randomize_1
Bei Nacht spendet die Straßenlaterne helles,licht,68,1.0,1,68,7,53,1.0,0.0,el,48,48,el,s_el_048p.wav,s_el_048tw,0.8092666285259611,s_el_048p.wav,s_el_048tw_12.wav,Stimuli/s_el_048p.wav,Stimuli/s_el_048tw_12.wav,0.8866492881072738
In seiner Werkstatt fertigt der Schmied ein eisernes,schwert,27,9.0,11,66,9,281,0.4090909090909091,1.730942683413564,em_hc,332,332,em,s_em_332p.wav,s_em_hc_332tw,0.6014637546534963,s_em_332p.wav,s_em_hc_332tw_6.wav,Stimuli/s_em_332p.wav,Stimuli/s_em_hc_332tw_6.wav,0.8891136065643527
Mein Vater durchsucht den Werkzeugkasten nach einer,zange,28,13.0,13,67,8,293,0.417910447761194,1.699390603716866,em_hc,350,350,em,s_em_350p.wav,s_em_hc_350tw,0.03831541372019687,s_em_350p.wav,s_em_hc_350tw_1.wav,Stimuli/s_em_350p.wav,Stimuli/s_em_hc_350tw_1.wav,0.8897950934305069
Daniela gähnte und rieb sich die Augen vor,müdigkeit,72,2.0,3,75,9,3,0.96,0.1934047144659654,el,62,62,el,s_el_062p.wav,s_el_062tw,0.4743085114708524,s_el_062p.wav,s_el_062tw_6.wav,Stimuli/s_el_062p.wav,Stimuli/s_el_062tw_6.wav,0.8901861285287613
Im Labor untersuchten die Wissenschaftler die,proben,15,19.0,31,68,7,233,0.2205882352941176,2.987722069645366,eh,281,281,eh,s_eh_281p.wav,s_eh_281tw,0.7862457145031034,s_eh_281p.wav,s_eh_281tw_6.wav,Stimuli/s_eh_281p.wav,Stimuli/s_eh_281tw_6.wav,0.8955501280453454
Der Zug lag noch gut in der ,Zeit,50,,3,53,8,12,0.9433962264150944,0.2535476752025521,el,162,162,el,s_el_162p.wav,s_el_162tw,0.49599861164349734,s_el_162p.wav,s_el_162tw_6.wav,Stimuli/s_el_162p.wav,Stimuli/s_el_162tw_6.wav,0.9035149653953253
Rund um den Garten zog er einen ,gnom,0,,3,53,8,34,0.0,0.4252275911752877,el_mm,391,391,el,s_el_391p.wav,s_el_mm_391tw,0.021040217218277313,s_el_391p.wav,s_el_mm_391tw_1.wav,Stimuli/s_el_391p.wav,Stimuli/s_el_mm_391tw_1.wav,0.9049715447322394
Ich verbringe meine Ferien gerne am,weiher,1,6.0,6,67,7,215,0.01492537313432836,1.176330126649963,em_lc,257,257,em,s_em_257p.wav,s_em_lc_257tw,0.8660476038228997,s_em_257p.wav,s_em_lc_257tw_12.wav,Stimuli/s_em_257p.wav,Stimuli/s_em_lc_257tw_12.wav,0.9077373590707323
Der See ist ein beliebter Ort zum,angeln,1,1.0,13,68,8,132,0.01470588235294118,1.717522048202358,em_lc,137,137,em,s_em_137p.wav,s_em_lc_137tw,0.16001055611537285,s_em_137p.wav,s_em_lc_137tw_1.wav,Stimuli/s_em_137p.wav,Stimuli/s_em_lc_137tw_1.wav,0.9134765874446934
Lars schlug sein Pferd mit einer ,Peitsche ,40,,3,44,7,26,0.9090909090909091,0.3557574741327661,el,344,344,el,s_el_344p.wav,s_el_344tw,0.16121714691176714,s_el_344p.wav,s_el_344tw_1.wav,Stimuli/s_el_344p.wav,Stimuli/s_el_344tw_1.wav,0.9171322915955744
Auf dem Zeltboden krabbelt eine,wanze,2,5.0,5,67,6,27,0.02985074626865672,0.8825154384639423,em_lc,23,23,em,s_em_023p.wav,s_em_lc_023tw,0.661228382560545,s_em_023p.wav,s_em_lc_023tw_6.wav,Stimuli/s_em_023p.wav,Stimuli/s_em_lc_023tw_6.wav,0.9296122774366782
Das Parfüm der Rezeptionistin duftete angenehm nach,rosen,26,15.0,19,66,8,82,0.3939393939393939,2.042440330693121,em_hc,77,77,em,s_em_077p.wav,s_em_hc_077tw,0.17167186416866065,s_em_077p.wav,s_em_hc_077tw_1.wav,Stimuli/s_em_077p.wav,Stimuli/s_em_hc_077tw_1.wav,0.9353579207847598
Die Zugvögel flogen nach ,Gefühl,0,,2,53,5,17,0.0,0.1606805620415462,el_mm,220,220,el,s_el_220p.wav,s_el_mm_220tw,0.562866061694065,s_el_220p.wav,s_el_mm_220tw_6.wav,Stimuli/s_el_220p.wav,Stimuli/s_el_mm_220tw_6.wav,0.9363786925831378
Morgens liest mein Vater,Zeitung,37,,4,40,5,27,0.925,0.3487803849180287,el,361,361,el,s_el_361p.wav,s_el_361tw,0.45192103706338993,s_el_361p.wav,s_el_361tw_6.wav,Stimuli/s_el_361p.wav,Stimuli/s_el_361tw_6.wav,0.9366839211036045
Der warme Sandstrand kitzelt unter den,füßen,57,1.0,6,68,7,141,0.8382352941176471,0.6877726640818627,el,150,150,el,s_el_150p.wav,s_el_150tw,0.28929383993721314,s_el_150p.wav,s_el_150tw_3.wav,Stimuli/s_el_150p.wav,Stimuli/s_el_150tw_3.wav,0.9402955065901893
Berlin ist eine laute,Stadt,44,,1,44,5,3,1.0,0.0,el,59,59,el,s_el_059p.wav,s_el_059tw,0.381432986520442,s_el_059p.wav,s_el_059tw_3.wav,Stimuli/s_el_059p.wav,Stimuli/s_el_059tw_3.wav,0.9469420755503893
Das Feuer im Kamin knistert und verbreitet,dreck,1,1.0,11,66,8,69,0.01515151515151515,0.9715313303319758,em_lc,70,70,em,s_em_070p.wav,s_em_lc_070tw,0.7296745070415139,s_em_070p.wav,s_em_lc_070tw_6.wav,Stimuli/s_em_070p.wav,Stimuli/s_em_lc_070tw_6.wav,0.9479856750682658
Die Belegschaft streikt für ein höheres,gehalt,67,3.0,3,76,7,8,0.881578947368421,0.4050762635411546,el,168,168,el,s_el_168p.wav,s_el_168tw,0.9852240819547546,s_el_168p.wav,s_el_168tw_12.wav,Stimuli/s_el_168p.wav,Stimuli/s_el_168tw_12.wav,0.949581063082131
In der Schule lernen die Kinder,lesen,27,5.0,15,68,7,265,0.3970588235294117,1.980447619989706,em_hc,317,317,em,s_em_317p.wav,s_em_hc_317tw,0.7811520583765357,s_em_317p.wav,s_em_hc_317tw_12.wav,Stimuli/s_em_317p.wav,Stimuli/s_em_hc_317tw_12.wav,0.9549408490942515
Der Comedien machte sich lustig über die,politiker,14,19.0,28,66,8,94,0.2121212121212121,2.849741969032072,eh,97,97,eh,s_eh_097p.wav,s_eh_097tw,0.6797382779008936,s_eh_097p.wav,s_eh_097tw_6.wav,Stimuli/s_eh_097p.wav,Stimuli/s_eh_097tw_6.wav,0.9556159270842008
Zu Risiken und Nebenwirkungen fragen Sie Ihren Arzt oder,elektriker,0,1.0,2,75,10,24,0.0,0.1229569993369445,el_mm,433,433,el,s_el_433p.wav,s_el_mm_433tw,0.2123657393374141,s_el_433p.wav,s_el_mm_433tw_3.wav,Stimuli/s_el_433p.wav,Stimuli/s_el_mm_433tw_3.wav,0.9557781962943449
In der Dunkelheit greift Theo nach der,zahnbürste,1,14.0,15,67,8,255,0.01492537313432836,1.810480301201734,em_lc,308,308,em,s_em_308p.wav,s_em_lc_308tw,0.45042704460107097,s_em_308p.wav,s_em_lc_308tw_3.wav,Stimuli/s_em_308p.wav,Stimuli/s_em_lc_308tw_3.wav,0.9563828120852447
Den Teebeutel übergoß sie mit heißem,sirup,0,2.0,2,76,7,5,0.0,0.07005428087549845,el_mm,84,84,el,s_el_084p.wav,s_el_mm_084tw,0.6060179509527113,s_el_084p.wav,s_el_mm_084tw_6.wav,Stimuli/s_el_084p.wav,Stimuli/s_el_mm_084tw_6.wav,0.9578972153717715
Das erste Mal spielte der Schauspieler die Rolle des,bösewichts,16,3.0,27,66,10,66,0.2424242424242424,2.766499916533065,eh,66,66,eh,s_eh_066p.wav,s_eh_066tw,0.9393673097121708,s_eh_066p.wav,s_eh_066tw_12.wav,Stimuli/s_eh_066p.wav,Stimuli/s_eh_066tw_12.wav,0.9586583723569696
Das feuchte Handtuch hängt an dem,ofen,1,8.0,14,66,7,68,0.01515151515151515,1.57162213231933,em_lc,68,68,em,s_em_068p.wav,s_em_lc_068tw,0.42859490435583614,s_em_068p.wav,s_em_lc_068tw_3.wav,Stimuli/s_em_068p.wav,Stimuli/s_em_lc_068tw_3.wav,0.970930359425254
Bei diesem Geräusch denkt Lilli immer an,urlaub,6,41.0,44,66,8,51,0.09090909090909091,3.637979688549688,eh,46,46,eh,s_eh_046p.wav,s_eh_046tw,0.6795381820572481,s_eh_046p.wav,s_eh_046tw_6.wav,Stimuli/s_eh_046p.wav,Stimuli/s_eh_046tw_6.wav,0.9726053902972237
Während der Konzerttage spielt die Musikerin ein Stück auf ihrer,geige,23,4.0,12,68,11,345,0.3382352941176471,1.990518482240906,em_hc,422,422,em,s_em_422p.wav,s_em_hc_422tw,0.8640478828347163,s_em_422p.wav,s_em_hc_422tw_12.wav,Stimuli/s_em_422p.wav,Stimuli/s_em_hc_422tw_12.wav,0.9786251754707643
Die Schüler schreiben heute eine wichtige Prüfung in,mathe,47,8.0,10,66,9,181,0.7121212121212122,1.141624710878416,em_hc,209,209,em,s_em_209p.wav,s_em_hc_209tw,0.8406806345301697,s_em_209p.wav,s_em_hc_209tw_12.wav,Stimuli/s_em_209p.wav,Stimuli/s_em_hc_209tw_12.wav,0.9817024212184333
Die Wahrsagerin prophezeit ihrem Kunden eine erfolgreiche,zukunft,45,10.0,10,67,8,187,0.6716417910447762,1.153729504418955,em_hc,217,217,em,s_em_217p.wav,s_em_hc_217tw,0.3878481059359522,s_em_217p.wav,s_em_hc_217tw_3.wav,Stimuli/s_em_217p.wav,Stimuli/s_em_hc_217tw_3.wav,0.9925328589489499
