Sentence Number,condition,Comments,Sentence,Besonderheit,Answer,WordPrediction,wn,nwords,nprt,nw,sn,cloze,entropy,prior_recording,tw_recording
_113,el,,Claire moved into her apartment soon after signing the,Name,lease,98,1,3,104,10,258,0.9423076923076923,0.2465639522963097,e_el_113p.wav,e_el_113tw_6.wav
_492,em_hc,rerecorded,The injured man got stitches to close a large,,wound,60,1,8,105,10,1288,0.5714285714285714,1.214242422172101,e_em_492p.wav,e_em_hc_492tw_12.wav
_591,em_hc,,The toddler covered the walls with her mother's,,lipstick,50,1,19,104,9,1561,0.4807692307692308,1.883093955375777,e_em_591p.wav,e_em_hc_591tw_12.wav
_250,em_hc,,Lindsay stored her homemade lemonade in a,Name,pitcher,38,1,14,104,8,679,0.3653846153846154,1.686375890103765,e_em_250p.wav,e_em_hc_250tw_12.wav
_460,em_hc,,The fisherman trapped hundreds of sharks in their,,nets,85,1,11,104,9,1219,0.8173076923076923,0.8509912772728023,e_em_460p.wav,e_em_hc_460tw_12.wav
_377,em_hc,,The brain surgery entailed removing an entire,,lobe,38,1,20,104,8,1035,0.3653846153846154,2.024739391769009,e_em_377p.wav,e_em_hc_377tw_1.wav
_484,em_hc,rerecorded,The house filled with smells of the freshly baked,,bread,76,1,8,104,10,1274,0.7307692307692307,0.9257962391989955,e_em_484p.wav,e_em_hc_484tw_1.wav
_125,em_hc,,"Descending the steps, the old man clutched the",,railing,76,1,15,104,9,287,0.7307692307692307,1.232893489758128,e_em_125p.wav,e_em_hc_125tw_1.wav
_527,em_hc,,The minor damage to their car was from,,hail,66,1,24,98,9,1364,0.673469387755102,1.616565389602129,e_em_527p.wav,e_em_hc_527tw_1.wav
_638,em_hc,,To blow off steam Adam usually goes to the,Name,gym,73,1,10,105,10,1696,0.6952380952380952,1.078583590784563,e_em_638p.wav,e_em_hc_638tw_3.wav
_182,em_hc,,Harrison didn't want to clip the wings of his,Name,bird,75,1,14,105,10,445,0.7142857142857143,1.162632406485965,e_em_182p.wav,e_em_hc_182tw_3.wav
_511,em_hc,,The lonely stallion needed the company of a,,mare,71,1,14,104,9,1330,0.6826923076923077,1.342312448234489,e_em_511p.wav,e_em_hc_511tw_3.wav
_522,em_hc,,The man said he fainted because of the,,heat,63,1,19,104,9,1343,0.6057692307692307,1.579403343429079,e_em_522p.wav,e_em_hc_522tw_3.wav
_360,em_hc,,The baby played with his rubber duck in the,,tub,48,1,7,105,10,997,0.4571428571428571,1.232700504378698,e_em_360p.wav,e_em_hc_360tw_6.wav
_270,em_hc,,"Months before the gala, Avery bought an expensive",Name,dress,54,1,20,104,9,748,0.5192307692307693,1.862410512270041,e_em_270p.wav,e_em_hc_270tw_6.wav
_564,em_hc,,The sitcom repeatedly used the same running,,joke,45,1,15,102,8,1496,0.4411764705882353,1.708480636309886,e_em_564p.wav,e_em_hc_564tw_6.wav
_333,em_hc,,Sarah threw the dirty towel in the,Name,hamper,34,1,10,102,8,898,0.3333333333333333,1.728943777710908,e_em_333p.wav,e_em_hc_333tw_6.wav
_531,eh,,The movie director was very displeased with the,,actors,18,1,28,105,9,1375,0.1714285714285714,2.922498987424897,e_eh_531p.wav,e_eh_531tw_12.wav
_309,eh,,Paul waited patiently for hours to see the,Name,doctor,22,1,37,103,9,844,0.2135922330097087,3.017930807061922,e_eh_309p.wav,e_eh_309tw_12.wav
_538,eh,,The pencil stayed put due to the desk's small,,size,17,1,38,103,10,1417,0.1650485436893204,3.222563557124949,e_eh_538p.wav,e_eh_538tw_12.wav
_209,eh,,In the end scene the monster released its,,venom,16,1,31,105,9,546,0.1523809523809524,2.892045925529111,e_eh_209p.wav,e_eh_209tw_12.wav
_080,eh,,At the street corner there was a beautiful,,woman,18,1,34,103,9,176,0.1747572815533981,2.949654712677846,e_eh_080p.wav,e_eh_080tw_1.wav
_280,eh,rerecorded,Nathan's last stop on his road trip was the,Name,museum,13,1,42,98,10,774,0.1326530612244898,3.376847726748,e_eh_280p.wav,e_eh_280tw_1.wav
_316,eh,,Recurring problems caused the leader to install a,,camera,36,1,35,103,9,861,0.3495145631067961,2.759726876861195,e_eh_316p.wav,e_eh_316tw_1.wav
_001,eh,,A common business accessory is a nice,,briefcase,28,1,29,105,8,2,0.2666666666666667,2.600312451636037,e_eh_001p.wav,e_eh_001tw_1.wav
_618,eh,,The young child stubbornly refused to taste the,,vegetables,15,1,35,104,9,1637,0.1442307692307692,3.054581072303977,e_eh_618p.wav,e_eh_618tw_3.wav
_349,eh,,That holiday season the town lacked its usual,,cheer,12,1,43,104,9,963,0.1153846153846154,3.389434976177229,e_eh_349p.wav,e_eh_349tw_3.wav
_184,eh,rerecorded,"Having opened the safe, Richard found a",Name,gun,17,1,30,105,8,447,0.1619047619047619,3.03518737688888,e_eh_184p.wav,e_eh_184tw_3.wav
_108,eh,,Children laughing was the grumpy old man's,,weakness,9,1,42,90,8,248,0.1,3.454646947813587,e_eh_108p.wav,e_eh_108tw_3.wav
_220,eh,,Jane remembered the man for his distinctive,Name,voice,23,1,28,104,8,592,0.2211538461538461,2.809083351148602,e_eh_220p.wav,e_eh_220tw_6.wav
_525,eh,,The man underneath the crane operated the,,machine,22,1,31,104,8,1345,0.2115384615384615,2.85841917079552,e_eh_525p.wav,e_eh_525tw_6.wav
_623,eh,,The zoo used the donations to build a new,,exhibit,21,1,24,105,10,1650,0.2,2.506223886336859,e_eh_623p.wav,e_eh_623tw_6.wav
_267,eh,,Michael took a large pill to help treat his,Name,headache,25,1,30,103,10,737,0.2427184466019418,2.875530581926168,e_eh_267p.wav,e_eh_267tw_6.wav
_575,el_mm,,The storewide clearance event attracted a huge,,rush,0,1,7,104,8,1523,0.0,0.3642634061034108,e_el_575p.wav,e_el_mm_575tw_12.wav
_109,el_mm,,Chocolate is made from the roasted cacao,,juice,0,1,7,104,8,249,0.0,0.6340399593710604,e_el_109p.wav,e_el_mm_109tw_12.wav
_396,el_mm,,The chef sprayed the cooking spray onto the,,cheese,0,1,7,103,9,1068,0.0,0.3671200489866049,e_el_396p.wav,e_el_mm_396tw_12.wav
_042,el_mm,rerecorded,"After submitting the paper, Gwen realized she made a",Name,typo ,0,1,3,104,10,72,0.0,0.184651904287397,e_el_042p.wav,e_el_mm_042tw_12.wav
_326,el_mm,,"Sally froze upon seeing the snake, crippled by",Name,shame,0,1,5,105,9,887,0.0,0.2146539482435499,e_el_326p.wav,e_el_mm_326tw_1.wav
_454,el_mm,,The fish did not breathe properly due to a damaged,,fin,0,1,5,105,11,1213,0.0,0.5333039228151273,e_el_454p.wav,e_el_mm_454tw_1.wav
_358,el_mm,,The award-winning pizza had a delicious and soft,,touch,0,1,5,104,9,995,0.0,0.3644976473479905,e_el_358p.wav,e_el_mm_358tw_1.wav
_517,el_mm,,The man bought his girlfriend a diamond,,vase,0,1,5,104,8,1335,0.0,0.2922500359132921,e_el_517p.wav,e_el_mm_517tw_1.wav
_406,el_mm,,The color most associated with anger is,,blue,0,1,2,103,8,1097,0.0,0.09576329345209114,e_el_406p.wav,e_el_mm_406tw_3.wav
_415,el_mm,,The criminal was nervous to appear before the,,dad,0,1,4,104,9,1122,0.0,0.6197268150279738,e_el_415p.wav,e_el_mm_415tw_3.wav
_100,el_mm,,Bill couldn't fix the car without having the right,Name,drink,0,1,4,103,10,213,0.0,0.541052066031489,e_el_100p.wav,e_el_mm_100tw_3.wav
_486,el_mm,,The house on the hill seemed haunted by a,,wolf,0,1,6,104,10,1275,0.0,0.6270399040844348,e_el_486p.wav,e_el_mm_486tw_3.wav
_094,el_mm,,Before you take a bath you should clean the,,hall,0,1,9,104,10,203,0.0,0.6519853318209144,e_el_094p.wav,e_el_mm_094tw_6.wav
_513,el_mm,,The lotion made Annie break out in a,Name,blush,0,1,4,105,9,1331,0.0,0.5143836340002829,e_el_513p.wav,e_el_mm_513tw_6.wav
_663,el_mm,rerecorded,Under her pillow the little girl placed her,,key,0,1,6,105,9,1756,0.0,0.3482517631865155,e_el_663p.wav,e_el_mm_663tw_6.wav
_507,el_mm,,The little girl knew her friend had told a,,tale,0,1,4,105,10,1324,0.0,0.4603460716737935,e_el_507p.wav,e_el_mm_507tw_6.wav
_447,em_lc,rerecorded,The farmer's pigs were quickly running out of,,time,1,12,13,104,9,1195,0.009615384615384616,1.701971017914822,e_em_447p.wav,e_em_lc_447tw_12.wav
_028,em_lc,,"After hours doing yard work, Jude was covered in",Name,leaves,1,9,10,105,10,52,0.009523809523809525,1.475413058792533,e_em_028p.wav,e_em_lc_028tw_12.wav
_569,em_lc,,The soldier would be away from home for a,,trip,1,13,13,104,10,1508,0.009615384615384616,1.359682569071421,e_em_569p.wav,e_em_lc_569tw_12.wav
_160,em_lc,,"Every morning, Jeff poured his coffee into a",Name,flask,1,5,5,104,9,366,0.009615384615384616,0.8920721570827146,e_em_160p.wav,e_em_lc_160tw_12.wav
_296,em_lc,,"On a stormy night, the ship captain hit a",,cliff,1,20,20,102,10,802,0.00980392156862745,2.027242434152705,e_em_296p.wav,e_em_lc_296tw_1.wav
_289,em_lc,,None of the witnesses could describe the suspect's,,height,1,8,12,104,9,794,0.009615384615384616,1.597596237447487,e_em_289p.wav,e_em_lc_289tw_1.wav
_232,em_lc,,Julia couldn't return the dress due to the missing,Name,lace,1,7,8,105,10,631,0.009523809523809525,1.265102908896248,e_em_232p.wav,e_em_lc_232tw_1.wav
_599,em_lc,,The ugly bird had trouble finding a,,perch,1,9,10,104,8,1586,0.009615384615384616,1.366794355361221,e_em_599p.wav,e_em_lc_599tw_1.wav
_009,em_lc,,A stray baseball smacked an unsuspecting walker in the,,butt,1,13,20,104,10,17,0.009615384615384616,1.877768734205209,e_em_009p.wav,e_em_lc_009tw_3.wav
_562,em_lc,,The sick child enjoyed eating the bowl of,,grapes,1,9,11,99,9,1493,0.0101010101010101,1.316165975585405,e_em_562p.wav,e_em_lc_562tw_3.wav
_589,em_lc,rerecorded,The thief was disappointed to open an empty,,fridge,1,7,12,104,9,1551,0.009615384615384616,0.9984525568921909,e_em_589p.wav,e_em_lc_589tw_3.wav
_419,em_lc,,The detectives found their suspect after pursuing a,,truck,1,10,15,103,9,1135,0.009708737864077669,1.548283253477303,e_em_419p.wav,e_em_lc_419tw_3.wav
_312,em_lc,,Rain water leaked through the big cracks on the,,porch,1,15,15,105,10,855,0.009523809523809525,1.511623357597178,e_em_312p.wav,e_em_lc_312tw_6.wav
_375,em_lc,,The boy was nervous to ask Lily for a,Name,raise,1,9,13,105,10,1028,0.009523809523809525,1.109266141474757,e_em_375p.wav,e_em_lc_375tw_6.wav
_051,em_lc,,Alexander placed the car key in the,Name,cupholder,1,20,26,104,8,97,0.009615384615384616,2.036641783427134,e_em_051p.wav,e_em_lc_051tw_6.wav
_366,em_lc,,The beautiful view was obscured by the,,barn,1,15,19,104,8,1005,0.009615384615384616,2.004961752407217,e_em_366p.wav,e_em_lc_366tw_6.wav
